Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas pants men's";LOW;69;18100;1.46;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;14800;2019-06;12100;2019-05;12100;2019-04;12100;2019-03;14800;2019-02;14800;2019-01;14800
"adidas men's pants";LOW;69;18100;1.46;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;14800;2019-06;12100;2019-05;12100;2019-04;12100;2019-03;14800;2019-02;14800;2019-01;14800
"men's adidas pants";LOW;69;18100;1.46;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;14800;2019-06;12100;2019-05;12100;2019-04;12100
"adidas joggers men";LOW;69;18100;1.84;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;40500;2019-11;33100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;12100;2019-06;9900;2019-05;12100;2019-04;12100;2019-03;14800;2019-02;14800
"adidas joggers women's";LOW;69;18100;1.34;100;2020-04;14800;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;9900;2019-06;8100;2019-05;9900;2019-04;14800;2019-03;18100;2019-02;18100;2019-01;22200
"men's adidas track pants";LOW;52;5400;1.32;100;2020-04;2900;2020-03;3600;2020-02;3600;2020-01;4400;2019-12;8100;2019-11;6600;2019-10;5400;2019-09;4400;2019-08;5400;2019-07;4400;2019-06;4400;2019-05;4400;2019-04;5400;2019-03;5400;2019-02;5400;2019-01;5400
"adidas men's track pants";LOW;52;5400;1.32;100;2020-04;2900;2020-03;3600;2020-02;3600;2020-01;4400;2019-12;8100;2019-11;6600;2019-10;5400;2019-09;4400;2019-08;5400;2019-07;4400;2019-06;4400;2019-05;4400;2019-04;5400;2019-03;5400;2019-02;5400;2019-01;260
"adidas sweatpants men's";LOW;57;5400;1.85;100;2020-04;5400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;4400;2019-07;3600;2019-06;2900;2019-05;3600;2019-04;3600;2019-03;5400;2019-02;5400;2019-01;5400
"black nike joggers";LOW;57;5400;0.53;100;2020-04;4400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;12100;2019-11;9900;2019-10;5400;2019-09;3600;2019-08;3600;2019-07;2900;2019-06;2400;2019-06;2400
"adidas track pants mens";LOW;52;5400;1.32;100;2020-04;2900;2020-03;3600;2020-02;3600;2020-01;4400;2019-12;8100;2019-11;6600;2019-10;5400;2019-09;4400;2019-08;5400;2019-07;4400;2019-06;4400;2019-06;4400
"men's adidas tiro 17 pants";LOW;44;2400;0.75;100;2020-04;1000;2020-03;1000;2020-02;1600;2020-01;2400;2019-12;4400;2019-11;3600;2019-10;2400;2019-09;2400;2019-08;2900;2019-07;3600;2019-06;2900;2019-05;2900;2019-04;3600;2019-03;4400;2019-02;3600
"adidas tiro 17 pants men's";LOW;44;2400;0.75;100;2020-04;1000;2020-03;1000;2020-02;1600;2020-01;2400;2019-12;4400;2019-11;3600;2019-10;2400;2019-09;2400;2019-08;2900;2019-07;3600;2019-06;2900;2019-05;2900;2019-04;3600;2019-03;4400
"adidas joggers boys";LOW;53;2400;1.61;100;2020-04;1000;2020-03;1300;2020-02;1900;2020-01;2400;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;1900;2019-08;2400;2019-07;1600;2019-06;1000;2019-05;1300;2019-04;1600;2019-03;1900;2019-02;1900;2019-01;2400
"mens adidas sweatpants";LOW;53;2400;2.11;99.9;2020-04;1900;2020-03;1600;2020-02;2400;2020-01;2900;2019-12;6600;2019-11;5400;2019-10;2900;2019-09;1900;2019-08;1600;2019-07;1600;2019-06;1000;2019-06;1000
"nike track pants mens";LOW;48;2400;0.65;100;2020-04;2900;2020-03;2400;2020-02;2400;2020-01;2400;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;2400;2019-08;2400;2019-07;2400;2019-06;1900;2019-06;1900
"mens adidas sweatsuit";LOW;53;2400;1.08;100;2020-04;2400;2020-03;1600;2020-02;2400;2020-01;2400;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;1900;2019-08;1600;2019-07;880;2019-06;1000;2019-06;1000
"men's adidas tiro pants";LOW;47;1600;0.81;100;2020-04;1000;2020-03;880;2020-02;1000;2020-01;1300;2019-12;2400;2019-11;2400;2019-10;1600;2019-09;1300;2019-08;1600;2019-07;1600;2019-06;1300;2019-05;1600;2019-04;1900;2019-03;2400;2019-02;2900;2019-01;3600
"green adidas pants";LOW;51;1600;0.87;100;2020-04;1600;2020-03;1600;2020-02;1900;2020-01;1600;2019-12;1900;2019-11;1600;2019-10;1600;2019-09;1900;2019-08;1900;2019-07;1600;2019-06;1300;2019-06;1300
"pants adidas";LOW;59;1600;1.02;100;2020-04;1000;2020-03;1000;2020-02;1300;2020-01;1600;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1300;2019-08;1600;2019-07;1600;2019-06;1000;2019-06;1000
"adidas windbreaker pants";LOW;51;1600;0.96;100;2020-04;1600;2020-03;1300;2020-02;1600;2020-01;1900;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1600;2019-08;1900;2019-07;1600;2019-06;1300;2019-06;1300
