Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas pants for men";LOW;64;18100;1.46;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;14800;2019-06;12100;2019-05;12100;2019-04;12100;2019-03;14800;2019-02;14800;2019-01;14800
"adidas joggers men";LOW;69;18100;1.84;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;40500;2019-11;33100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;12100;2019-06;9900;2019-05;12100;2019-04;12100;2019-03;14800;2019-02;14800
"adidas pants men's";LOW;69;18100;1.46;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;14800;2019-06;12100;2019-05;12100;2019-04;12100;2019-03;14800;2019-02;14800;2019-01;14800
"adidas joggers women's";LOW;69;18100;1.34;100;2020-04;14800;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;14800;2019-08;14800;2019-07;9900;2019-06;8100;2019-05;9900;2019-04;14800;2019-03;18100;2019-02;18100;2019-01;22200
"adidas shoes";LOW;77;550000;0.58;100;2020-04;450000;2020-03;450000;2020-02;550000;2020-01;550000;2019-12;823000;2019-11;673000;2019-10;450000;2019-09;550000;2019-08;823000;2019-07;673000;2019-06;450000;2019-05;450000;2019-04;450000;2019-03;450000;2019-02;450000
"nike sweatpants";LOW;77;135000;0.52;100;2020-04;135000;2020-03;110000;2020-02;135000;2020-01;135000;2019-12;368000;2019-11;301000;2019-10;165000;2019-09;90500;2019-08;74000;2019-07;60500;2019-06;40500;2019-05;40500;2019-04;49500;2019-03;74000;2019-02;74000
"men's joggers";LOW;77;90500;1.84;100;2020-04;90500;2020-03;60500;2020-02;74000;2020-01;74000;2019-12;165000;2019-11;135000;2019-10;90500;2019-09;74000;2019-08;74000;2019-07;60500;2019-06;49500;2019-05;49500;2019-04;60500;2019-03;74000;2019-02;74000;2019-01;74000
"adidas pants";LOW;77;60500;0.72;100;2020-04;49500;2020-03;49500;2020-02;60500;2020-01;60500;2019-12;110000;2019-11;110000;2019-10;74000;2019-09;60500;2019-08;74000;2019-07;60500;2019-06;49500;2019-05;49500;2019-04;60500;2019-03;74000;2019-02;74000
"adidas sweatpants";LOW;77;60500;0.81;100;2020-04;49500;2020-03;40500;2020-02;49500;2020-01;60500;2019-12;110000;2019-11;110000;2019-10;74000;2019-09;49500;2019-08;49500;2019-07;40500;2019-06;27100;2019-06;27100
"adidas tracksuit";LOW;77;49500;0.66;100;2020-04;49500;2020-03;40500;2020-02;40500;2020-01;49500;2019-12;90500;2019-11;74000;2019-10;60500;2019-09;49500;2019-08;40500;2019-07;40500;2019-06;33100;2019-05;40500;2019-04;49500;2019-03;60500;2019-02;60500
"adidas joggers";LOW;77;49500;1.24;100;2020-04;33100;2020-03;33100;2020-02;40500;2020-01;40500;2019-12;90500;2019-11;74000;2019-10;49500;2019-09;40500;2019-08;49500;2019-07;40500;2019-06;33100;2019-06;33100
"nike joggers men";LOW;70;33100;0.67;100;2020-04;33100;2020-03;22200;2020-02;33100;2020-01;33100;2019-12;90500;2019-11;60500;2019-10;40500;2019-09;27100;2019-08;22200;2019-07;18100;2019-06;14800;2019-05;14800;2019-04;18100;2019-03;22200;2019-02;22200
"adidas sweatshirt";LOW;77;27100;1.39;100;2020-04;14800;2020-03;14800;2020-02;22200;2020-01;22200;2019-12;60500;2019-11;49500;2019-10;33100;2019-09;27100;2019-08;22200;2019-07;14800;2019-06;12100;2019-05;14800;2019-04;18100;2019-03;27100;2019-02;27100
"adidas track pants";LOW;70;27100;1.09;100;2020-04;22200;2020-03;22200;2020-02;22200;2020-01;27100;2019-12;40500;2019-11;33100;2019-10;33100;2019-09;27100;2019-08;33100;2019-07;27100;2019-06;22200;2019-06;22200
"track pants";LOW;77;27100;0.84;100;2020-04;27100;2020-03;22200;2020-02;22200;2020-01;27100;2019-12;27100;2019-11;27100;2019-10;27100;2019-09;27100;2019-08;33100;2019-07;27100;2019-06;22200;2019-06;22200
"nike track pants";LOW;62;9900;0.63;100;2020-04;12100;2020-03;9900;2020-02;9900;2020-01;9900;2019-12;12100;2019-11;12100;2019-10;12100;2019-09;9900;2019-08;9900;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;8100;2019-03;9900;2019-02;8100;2019-01;8100
"adidas sweatpants women's";LOW;62;9900;1.32;100;2020-04;9900;2020-03;8100;2020-02;9900;2020-01;12100;2019-12;22200;2019-11;22200;2019-10;12100;2019-09;9900;2019-08;8100;2019-07;6600;2019-06;4400;2019-05;5400;2019-04;6600;2019-03;9900;2019-02;9900;2019-01;9900
"adidas shorts mens";LOW;62;9900;1.2;100;2020-04;14800;2020-03;9900;2020-02;6600;2020-01;5400;2019-12;6600;2019-11;5400;2019-10;5400;2019-09;8100;2019-08;14800;2019-07;18100;2019-06;14800;2019-06;14800
"adidas slip on shoes";LOW;57;9900;2.04;100;2020-04;8100;2020-03;9900;2020-02;9900;2020-01;9900;2019-12;12100;2019-11;9900;2019-10;8100;2019-09;9900;2019-08;12100;2019-07;9900;2019-06;8100;2019-06;8100
