Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas pants red";LOW;60;8100;0.85;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;6600;2019-12;12100;2019-11;9900;2019-10;8100;2019-09;6600;2019-08;8100;2019-07;6600;2019-06;6600;2019-05;5400;2019-04;6600;2019-03;8100;2019-02;6600;2019-01;8100
"adidas red pants";LOW;60;8100;0.85;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;6600;2019-12;12100;2019-11;9900;2019-10;8100;2019-09;6600;2019-08;8100;2019-07;6600;2019-06;6600;2019-05;5400;2019-04;6600;2019-03;8100;2019-02;6600;2019-01;8100
"red adidas pants";LOW;60;8100;0.7;100;2020-02;8100;2020-01;6600;2019-12;12100;2019-11;9900;2019-10;8100;2019-09;6600;2019-08;8100;2019-07;6600;2019-06;6600;2019-05;5400;2019-04;6600;2019-03;8100;2019-02;6600;2019-01;8100
"adidas soccer pants";LOW;60;8100;0.59;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;6600;2019-08;6600;2019-07;6600;2019-06;5400;2019-06;5400
"adidas sweats";LOW;67;8100;0.91;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;6600;2019-08;8100;2019-07;5400;2019-06;4400;2019-06;4400
"red track pants adidas";LOW;47;1600;0.63;100;2020-02;1300;2020-01;1600;2019-12;2400;2019-11;1600;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1600;2019-06;1300;2019-05;1300;2019-04;1300;2019-03;1600;2019-02;1300;2019-01;1600
"adidas red track pants";LOW;47;1600;0.91;100;2020-04;1000;2020-03;880;2020-02;1300;2020-01;1600;2019-12;2400;2019-11;1600;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1600;2019-06;1300;2019-05;1300;2019-04;1300;2019-03;1600;2019-02;1300;2019-01;1600
"adidas track pants red";LOW;47;1600;0.91;100;2020-04;1000;2020-03;880;2020-02;1300;2020-01;1600;2019-12;2400;2019-11;1600;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1600;2019-06;1300;2019-05;1300;2019-04;1300;2019-03;1600;2019-02;1300;2019-01;1600
"red adidas track pants";LOW;47;1600;0.94;100;2020-03;880;2020-02;1300;2020-01;1600;2019-12;2400;2019-11;1600;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1600;2019-06;1300;2019-05;1300;2019-04;1300;2019-03;1600;2019-02;1300;2019-01;1600
"adidas 3 stripe pants";LOW;47;1600;1.02;100;2020-04;1900;2020-03;1600;2020-02;1900;2020-01;1900;2019-12;3600;2019-11;2400;2019-10;1300;2019-09;1000;2019-08;1300;2019-07;1000;2019-06;880;2019-05;1000;2019-04;1300;2019-03;1600;2019-02;1600;2019-01;1600
"red adidas joggers";LOW;51;1600;0.9;100;2020-04;1300;2020-03;1000;2020-02;1300;2020-01;1300;2019-12;2400;2019-11;1900;2019-10;1600;2019-09;1600;2019-08;1300;2019-07;1300;2019-06;1000;2019-05;1000;2019-04;1000;2019-03;1300;2019-02;1300
"adidas track suit mens";LOW;47;1600;1.21;100;2020-04;1600;2020-03;1000;2020-02;1300;2020-01;1300;2019-12;2400;2019-11;2400;2019-10;2400;2019-09;1600;2019-08;1300;2019-07;880;2019-06;1000;2019-05;1000;2019-04;1000;2019-03;1300;2019-02;1300;2019-01;1300
"green adidas pants";LOW;51;1600;0.87;100;2020-04;1600;2020-03;1600;2020-02;1900;2020-01;1600;2019-12;1900;2019-11;1600;2019-10;1600;2019-09;1900;2019-08;1900;2019-07;1600;2019-06;1300;2019-06;1300
"black and white adidas jacket";LOW;43;1600;1.18;100;2020-04;720;2020-03;1000;2020-02;1300;2020-01;1600;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1600;2019-06;1300;2019-06;1300
"pants adidas";LOW;59;1600;1.02;100;2020-04;1000;2020-03;1000;2020-02;1300;2020-01;1600;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1300;2019-08;1600;2019-07;1600;2019-06;1000;2019-06;1000
"white adidas sweatshirt";LOW;51;1600;0.98;100;2020-04;1000;2020-03;880;2020-02;1300;2020-01;1600;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;1600;2019-08;1600;2019-07;1000;2019-06;720;2019-06;720
"black adidas shirt";LOW;51;1600;1.29;100;2020-04;1600;2020-03;1300;2020-02;1300;2020-01;1300;2019-12;1600;2019-11;1600;2019-10;1600;2019-09;1900;2019-08;2900;2019-07;2400;2019-06;1900;2019-06;1900
"adidas windbreaker pants";LOW;51;1600;0.96;100;2020-04;1600;2020-03;1300;2020-02;1600;2020-01;1900;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1600;2019-08;1900;2019-07;1600;2019-06;1300;2019-06;1300
"black adidas joggers";LOW;51;1600;1.08;100;2020-04;1300;2020-03;1300;2020-02;1600;2020-01;1600;2019-12;2900;2019-11;2900;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1300;2019-06;1000;2019-06;1000
"adidas track jacket mens";LOW;47;1600;1.24;100;2020-04;1300;2020-03;1000;2020-02;1300;2020-01;1600;2019-12;2400;2019-11;1900;2019-10;1600;2019-09;1300;2019-08;1600;2019-07;1300;2019-06;1000;2019-06;1000
"red adidas pants womens";LOW;45;880;0.58;100;2020-02;880;2020-01;880;2019-12;1600;2019-11;880;2019-10;720;2019-09;880;2019-08;720;2019-07;590;2019-06;590;2019-05;590;2019-04;590;2019-03;720;2019-02;590;2019-01;720
"adidas youth pants";LOW;50;880;1.42;100;2020-04;390;2020-03;590;2020-02;720;2020-01;880;2019-12;1900;2019-11;1900;2019-10;1300;2019-09;720;2019-08;880;2019-07;590;2019-06;390;2019-05;480;2019-04;720;2019-03;1300;2019-02;1000;2019-01;1000
"adidas 3 stripe joggers women's";LOW;42;880;0.91;100;2020-04;480;2020-03;390;2020-02;720;2020-01;880;2019-12;1600;2019-11;1300;2019-10;720;2019-09;720;2019-08;880;2019-07;720;2019-06;720;2019-05;720;2019-04;0
"adidas tracksuit amazon";LOW;50;880;0.36;100;2020-04;720;2020-03;590;2020-02;720;2020-01;720;2019-12;1600;2019-11;1000;2019-10;1600;2019-09;720;2019-08;590;2019-07;590;2019-06;590;2019-05;590;2019-04;720;2019-03;1000;2019-02;880;2019-01;880
"adidas velour tracksuit mens";LOW;45;880;0.96;100;2020-04;1000;2020-03;880;2020-02;1000;2020-01;1000;2019-12;1900;2019-11;1600;2019-10;1300;2019-09;590;2019-08;590;2019-07;390;2019-06;480;2019-05;590;2019-04;720;2019-03;1000;2019-02;880;2019-01;1300
"green adidas track pants";LOW;45;880;0.89;100;2020-04;720;2020-03;880;2020-02;880;2020-01;720;2019-12;880;2019-11;880;2019-10;880;2019-09;1000;2019-08;1000;2019-07;880;2019-06;590;2019-06;590
"adidas sweatpants outfits";LOW;50;880;1.66;100;2020-04;390;2020-03;590;2020-02;1000;2020-01;1000;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1000;2019-08;720;2019-07;480;2019-06;390;2019-06;390
"purple adidas pants";LOW;50;880;0.71;100;2020-04;1000;2020-03;1000;2020-02;1000;2020-01;1000;2019-12;1000;2019-11;1000;2019-10;1000;2019-09;880;2019-08;880;2019-07;880;2019-06;720;2019-06;720
"adidas striped pants";LOW;50;880;1.08;100;2020-04;720;2020-03;720;2020-02;880;2020-01;1000;2019-12;1600;2019-11;1600;2019-10;1000;2019-09;720;2019-08;880;2019-07;720;2019-06;720;2019-06;720
"red adidas track jacket";LOW;45;880;0.79;100;2020-04;720;2020-03;720;2020-02;1000;2020-01;880;2019-12;1300;2019-11;1000;2019-10;1300;2019-09;880;2019-08;880;2019-07;880;2019-06;720;2019-06;720
"black adidas sweater";LOW;50;880;1.29;100;2020-04;390;2020-03;590;2020-02;880;2020-01;880;2019-12;1600;2019-11;1300;2019-10;1000;2019-09;880;2019-08;880;2019-07;590;2019-06;480;2019-06;480
"men's adidas training pants";LOW;45;880;1.54;100;2020-04;390;2020-03;480;2020-02;480;2020-01;590;2019-12;1000;2019-11;720;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;1000;2019-06;1000;2019-06;1000
