Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas tiro 17 pants";LOW;55;8100;0.75;100;2020-04;4400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;9900;2019-11;9900;2019-10;8100;2019-09;8100;2019-08;9900;2019-07;8100;2019-06;8100;2019-05;9900;2019-04;9900;2019-03;14800;2019-02;12100;2019-01;14800
"adidas pants tiro 17";LOW;55;8100;0.75;100;2020-04;4400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;9900;2019-11;9900;2019-10;8100;2019-09;8100;2019-08;9900;2019-07;8100;2019-06;8100;2019-05;9900;2019-04;9900;2019-03;14800;2019-02;12100;2019-01;14800
"men's adidas tiro 17 pants";LOW;44;2400;0.75;100;2020-04;1000;2020-03;1000;2020-02;1600;2020-01;2400;2019-12;4400;2019-11;3600;2019-10;2400;2019-09;2400;2019-08;2900;2019-07;3600;2019-06;2900;2019-05;2900;2019-04;3600;2019-03;4400;2019-02;3600
"adidas tiro 17 pants men";LOW;44;2400;0.75;100;2020-04;1000;2020-03;1000;2020-02;1600;2020-01;2400;2019-12;4400;2019-11;3600;2019-10;2400;2019-09;2400;2019-08;2900;2019-07;3600;2019-06;2900;2019-05;2900;2019-04;3600;2019-03;4400;2019-02;3600;2019-01;4400
"adidas climacool pants";LOW;53;2400;1.29;100;2020-04;2400;2020-03;2400;2020-02;2400;2020-01;2400;2019-12;4400;2019-11;3600;2019-10;2400;2019-09;2400;2019-08;1900;2019-07;2400;2019-06;1900;2019-06;1900
"men's training pants";LOW;53;2400;1.78;100;2020-04;2400;2020-03;1600;2020-02;1900;2020-01;2400;2019-12;2400;2019-11;2400;2019-10;3600;2019-09;2900;2019-08;2900;2019-07;2400;2019-06;2400;2019-06;2400
"women's adidas tiro 17 pants";LOW;42;1000;0.5;100;2020-01;590;2019-12;1300;2019-11;1300;2019-10;1000;2019-09;880;2019-08;1000;2019-07;720;2019-06;720;2019-05;880;2019-04;1000;2019-03;1900;2019-02;1600;2019-01;1600
"black and white adidas pants";LOW;42;1000;0.96;100;2020-04;720;2020-03;720;2020-02;880;2020-01;880;2019-12;1600;2019-11;1600;2019-10;1000;2019-09;880;2019-08;1000;2019-07;1000;2019-06;880;2019-06;880
"adidas tiro 17 pants women's";LOW;42;720;0.83;100;2020-04;390;2020-03;320;2020-02;480;2020-01;590;2019-12;1300;2019-11;1300;2019-10;1000;2019-09;880;2019-08;1000;2019-07;720;2019-06;720;2019-05;880;2019-04;1000;2019-03;1900;2019-02;1600
"adidas tiro 15";LOW;50;720;1.2;100;2020-04;480;2020-03;480;2020-02;590;2020-01;590;2019-12;720;2019-11;720;2019-10;720;2019-09;720;2019-08;720;2019-07;880;2019-06;880;2019-05;720;2019-04;880;2019-03;880;2019-02;1000
"women's adidas training pants";LOW;45;720;1.26;100;2020-04;390;2020-03;320;2020-02;390;2020-01;390;2019-12;720;2019-11;720;2019-10;1300;2019-09;1300;2019-08;1000;2019-07;880;2019-06;720;2019-06;720
"adidas tiro pants womens";LOW;45;720;0.8;100;2020-04;720;2020-03;590;2020-02;590;2020-01;720;2019-12;1600;2019-11;1000;2019-10;720;2019-09;720;2019-08;720;2019-07;720;2019-06;590;2019-06;590
"adult training pants";LOW;50;720;0.49;100;2020-04;880;2020-03;590;2020-02;590;2020-01;720;2019-12;880;2019-11;720;2019-10;720;2019-09;880;2019-08;880;2019-07;720;2019-06;720;2019-06;720
"tiro 17 training pants adidas";LOW;41;480;0.78;100;2020-04;320;2020-03;260;2020-02;210;2020-01;390;2019-12;720;2019-11;720;2019-10;480;2019-09;390;2019-08;480;2019-07;390;2019-06;480;2019-05;480;2019-04;880;2019-03;1300;2019-02;1600;2019-01;1600
"adidas youth tiro 17 pants";LOW;41;480;0.83;100;2020-04;140;2020-03;210;2020-02;320;2020-01;480;2019-12;880;2019-11;1000;2019-10;720;2019-09;480;2019-08;590;2019-07;390;2019-06;320;2019-05;320;2019-04;390;2019-03;720;2019-02;590;2019-01;720
"adidas tiro pants 17";LOW;45;480;0.73;100;2020-04;320;2020-03;320;2020-02;390;2020-01;390;2019-12;880;2019-11;590;2019-10;390;2019-09;390;2019-08;480;2019-07;390;2019-06;320;2019-05;390;2019-04;390;2019-03;320;2019-02;260;2019-01;320
"adidas tiro 17 training pants";LOW;41;480;0.78;100;2020-04;320;2020-03;260;2020-02;210;2020-01;390;2019-12;720;2019-11;720;2019-10;480;2019-09;390;2019-08;480;2019-07;390;2019-06;480;2019-05;480;2019-04;880;2019-03;1300;2019-02;1600;2019-01;1600
"adidas tiro 17 pants youth";LOW;41;480;0.83;100;2020-04;140;2020-03;210;2020-02;320;2020-01;480;2019-12;880;2019-11;1000;2019-10;720;2019-09;480;2019-08;590;2019-07;390;2019-06;320;2019-05;320;2019-04;390;2019-03;720;2019-02;590;2019-01;720
"tiro 19 camo training pants";LOW;41;480;0.7;100;2020-04;720;2020-03;720;2020-02;720;2020-01;590;2019-12;1300;2019-11;590;2019-10;210;2019-09;260;2019-08;140;2019-07;170;2019-06;0;2019-05;0;2019-04;0;2019-03;0;2019-02;0;2019-01;0
"adidas tiro 19 jacket";LOW;45;480;1.06;99.4;2020-04;390;2020-03;320;2020-02;480;2020-01;590;2019-12;880;2019-11;720;2019-10;590;2019-09;590;2019-08;390;2019-07;320;2019-06;320;2019-05;390;2019-04;320;2019-03;320;2019-02;320;2019-01;320
"adidas tiro 15 pants";LOW;45;480;0.7;100;2020-04;480;2020-03;320;2020-02;320;2020-01;390;2019-12;590;2019-11;590;2019-10;480;2019-09;480;2019-08;720;2019-07;720;2019-06;590;2019-06;590
"adidas tiro 17 training pants women's";LOW;39;390;1.33;100;2020-04;170;2020-03;170;2020-02;210;2020-01;260;2019-12;590;2019-11;480;2019-10;480;2019-09;390;2019-08;390;2019-07;320;2019-06;320;2019-05;480;2019-04;390;2019-03;720
"adidas women's tiro 17 training pants";LOW;39;390;1.33;100;2020-04;170;2020-03;170;2020-02;210;2020-01;260;2019-12;590;2019-11;480;2019-10;480;2019-09;390;2019-08;390;2019-07;320;2019-06;320;2019-05;480;2019-04;390;2019-03;720;2019-02;590;2019-01;720
"adidas youth tiro 17 soccer training pants";LOW;38;390;1.11;100;2020-04;140;2020-03;110;2020-02;210;2020-01;170;2019-12;590;2019-11;880;2019-10;590;2019-09;320;2019-08;480;2019-07;390;2019-06;210;2019-05;320;2019-04;390;2019-03;590;2019-02;320;2019-01;480
"adidas tiro 19 pants women's";LOW;41;390;0.81;100;2020-04;260;2020-03;320;2020-02;320;2020-01;320;2019-12;880;2019-11;720;2019-10;390;2019-09;320;2019-08;480;2019-07;260;2019-06;210;2019-05;260;2019-04;210;2019-03;390;2019-02;320
"adidas tiro pants youth";LOW;45;390;0.77;100;2020-04;210;2020-03;170;2020-02;210;2020-01;260;2019-12;720;2019-11;720;2019-10;480;2019-09;480;2019-08;320;2019-07;390;2019-06;320;2019-05;320;2019-04;320;2019-03;590;2019-02;480
"soccer training pants";LOW;50;390;1.02;100;2020-04;320;2020-03;320;2020-02;390;2020-01;590;2019-12;720;2019-11;720;2019-10;590;2019-09;390;2019-08;260;2019-07;320;2019-06;320;2019-06;320
"adidas tiro training pants";LOW;45;390;0.89;100;2020-04;320;2020-03;210;2020-02;320;2020-01;480;2019-12;720;2019-11;590;2019-10;320;2019-09;260;2019-08;390;2019-07;320;2019-06;260;2019-06;260
"adidas soccer training pants";LOW;45;390;1.66;100;2020-04;320;2020-03;260;2020-02;320;2020-01;320;2019-12;720;2019-11;720;2019-10;480;2019-09;320;2019-08;320;2019-07;260;2019-06;210;2019-06;210
"adidas men's tiro 17 soccer pants";LOW;39;320;1.05;100;2020-04;170;2020-03;110;2020-02;170;2020-01;170;2019-12;480;2019-11;590;2019-10;390;2019-09;320;2019-08;390;2019-07;320;2019-06;260;2019-05;320;2019-04;260;2019-03;590;2019-02;880;2019-01;1600
"adidas men's soccer tiro 17 pants";LOW;39;320;1.05;100;2020-04;170;2020-03;110;2020-02;170;2020-01;170;2019-12;480;2019-11;590;2019-10;390;2019-09;320;2019-08;390;2019-07;320;2019-06;260;2019-05;320;2019-04;260;2019-03;590;2019-02;880;2019-01;1600
