Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"carolina pants";MEDIUM;44;823000;1.45;0.9;2020-04;550000;2020-03;673000;2020-02;368000;2020-01;673000;2019-12;1220000;2019-11;1500000;2019-10;1830000;2019-09;1830000;2019-08;1000000;2019-07;368000;2019-06;368000;2019-05;368000;2019-04;450000;2019-03;450000;2019-02;301000;2019-01;368000
"patriots schedule";MEDIUM;44;823000;0.73;0.6;2020-04;27100;2020-03;60500;2020-02;33100;2020-01;368000;2019-12;1830000;2019-11;1830000;2019-10;2240000;2019-09;2240000;2019-08;673000;2019-07;135000;2019-06;49500;2019-05;40500;2019-04;74000;2019-03;27100;2019-02;49500
"carolina belle montreal pants";LOW;44;140;0.21;100;2020-03;110;2020-02;260;2020-01;70;2019-12;90;2019-11;90;2019-10;210;2019-09;170;2019-08;210;2019-07;210;2019-06;140;2019-05;110;2019-04;110;2019-03;110;2019-02;90;2019-01;90
"carolina panthers players history";HIGH;11;140;0;0;2020-04;140;2020-03;140;2020-02;110;2020-01;140;2019-12;140;2019-11;170;2019-10;140;2019-09;210;2019-08;320;2019-07;70;2019-06;50;2019-05;50;2019-04;90;2019-03;30;2019-02;30;2019-01;40
"womens panthers shirts";LOW;49;140;1.03;100;2020-04;10;2020-03;10;2020-02;30;2020-01;50;2019-12;90;2019-11;170;2019-10;390;2019-09;590;2019-08;390;2019-07;90;2019-06;20;2019-06;20
"carolina panthers football team";LOW;13;140;0;7.1;2020-04;90;2020-03;110;2020-02;140;2020-01;140;2019-12;170;2019-11;210;2019-10;210;2019-09;210;2019-08;170;2019-07;110;2019-06;70;2019-06;70
"panthers home jersey";LOW;36;140;0.48;61.3;2020-04;170;2020-03;110;2020-02;90;2020-01;110;2019-12;210;2019-11;260;2019-10;260;2019-09;320;2019-08;140;2019-07;50;2019-06;40;2019-06;40
"carolina panthers football gloves";LOW;44;140;0.22;100;2020-04;50;2020-03;50;2020-02;90;2020-01;90;2019-12;170;2019-11;320;2019-10;260;2019-09;260;2019-08;170;2019-07;70;2019-06;50;2019-06;50
"nfl panthers jersey";LOW;49;140;0.64;100;2020-04;90;2020-03;70;2020-02;70;2020-01;140;2019-12;260;2019-11;320;2019-10;260;2019-09;260;2019-08;170;2019-07;50;2019-06;50;2019-06;50
"kids panthers jersey";LOW;49;140;0.94;100;2020-04;40;2020-03;50;2020-02;30;2020-01;110;2019-12;320;2019-11;320;2019-10;320;2019-09;260;2019-08;170;2019-07;70;2019-06;30;2019-06;30
"carolina panthers sale";LOW;26;140;1;30.2;2020-04;70;2020-03;50;2020-02;70;2020-01;140;2019-12;170;2019-11;110;2019-10;110;2019-09;170;2019-08;260;2019-07;140;2019-06;110;2019-06;110
"carolina panthers slippers";LOW;49;140;0.76;100;2020-04;110;2020-03;10;2020-02;20;2020-01;50;2019-12;480;2019-11;320;2019-10;140;2019-09;140;2019-08;140;2019-07;50;2019-06;30;2019-06;30
"panthers jersey sale";LOW;49;140;1.01;100;2020-04;40;2020-03;10;2020-02;10;2020-01;40;2019-12;110;2019-11;210;2019-10;480;2019-09;320;2019-08;260;2019-07;50;2019-06;20;2019-06;20
"carolina panthers team colors";LOW;12;140;0;2.6;2020-04;110;2020-03;110;2020-02;90;2020-01;110;2019-12;170;2019-11;210;2019-10;140;2019-09;210;2019-08;140;2019-07;90;2019-06;50;2019-06;50
"carolina panthers baby clothes";LOW;44;140;0.76;100;2020-04;110;2020-03;30;2020-02;70;2020-01;140;2019-12;50;2019-11;140;2019-10;210;2019-09;210;2019-08;260;2019-07;140;2019-06;90;2019-06;90
"panthers gifts";LOW;56;140;0.63;100;2020-04;50;2020-03;30;2020-02;70;2020-01;50;2019-12;480;2019-11;390;2019-10;110;2019-09;90;2019-08;40;2019-07;30;2019-06;70;2019-06;70
"carolina panthers onesie";LOW;49;140;0.68;100;2020-04;50;2020-03;40;2020-02;90;2020-01;50;2019-12;210;2019-11;210;2019-10;210;2019-09;260;2019-08;260;2019-07;110;2019-06;70;2019-06;70
"carolina panthers sweater";LOW;49;140;0.54;98.3;2020-04;90;2020-03;30;2020-02;30;2020-01;90;2019-12;320;2019-11;480;2019-10;320;2019-09;170;2019-08;110;2019-07;50;2019-06;40;2019-06;40
"carolina panthers pants";LOW;49;90;0.8;100;2020-03;30;2020-02;50;2020-01;70;2019-12;140;2019-11;170;2019-10;260;2019-09;170;2019-08;140;2019-07;50;2019-06;30;2019-05;20;2019-04;40;2019-03;50;2019-02;30;2019-01;50
"carolina belle pants";LOW;49;90;0.22;100;2020-03;90;2020-02;90;2020-01;70;2019-12;70;2019-11;90;2019-10;110;2019-09;90;2019-08;90;2019-07;70;2019-06;140;2019-05;90;2019-04;110;2019-03;110;2019-02;70;2019-01;90
"carolina panthers apparel walmart";LOW;44;90;0.41;100;2020-03;10;2020-02;10;2020-01;50;2019-12;210;2019-11;170;2019-10;110;2019-09;170;2019-08;140;2019-07;70;2019-06;20;2019-05;20;2019-04;30;2019-03;20;2019-02;20;2019-01;50
"carolina panthers logo black and white";MEDIUM;27;90;0.03;66.4;2020-04;50;2020-03;50;2020-02;50;2020-01;140;2019-12;170;2019-11;110;2019-10;110;2019-09;110;2019-08;140;2019-07;50;2019-06;40;2019-05;10;2019-04;10;2019-03;10;2019-02;20;2019-01;30
"carolina panthers logo vector";MEDIUM;15;90;0;11.9;2020-04;90;2020-03;50;2020-02;70;2020-01;50;2019-12;110;2019-11;140;2019-10;140;2019-09;140;2019-08;140;2019-07;110;2019-06;50;2019-05;30;2019-04;30;2019-03;20;2019-02;30;2019-01;30
"carolina panthers logo svg";MEDIUM;20;90;0;26.9;2020-03;50;2020-02;30;2020-01;110;2019-12;210;2019-11;140;2019-10;90;2019-09;140;2019-08;110;2019-07;40;2019-06;40;2019-05;10;2019-04;10;2019-03;10;2019-02;20;2019-01;20
"panthers trade for wide receiver";MEDIUM;8;90;0;0;2020-02;50;2020-01;90;2019-12;50;2019-11;40;2019-10;320;2019-09;70;2019-08;90;2019-07;40;2019-06;40;2019-05;70;2019-04;70;2019-03;140;2019-02;70;2019-01;70
"carolina panthers sponsors";MEDIUM;16;90;0;0.6;2020-03;40;2020-02;70;2020-01;110;2019-12;50;2019-11;70;2019-10;90;2019-09;110;2019-08;110;2019-07;110;2019-06;70;2019-05;50;2019-04;50;2019-03;70;2019-02;70;2019-01;70
"carolina panthers baby gear";LOW;44;90;0.55;100;2020-04;30;2020-03;10;2020-02;70;2020-01;30;2019-12;40;2019-11;70;2019-10;90;2019-09;170;2019-08;170;2019-07;90;2019-06;90;2019-06;90
"carolina panthers hometown";LOW;16;90;0;0;2020-04;40;2020-03;30;2020-02;20;2020-01;50;2019-12;140;2019-11;210;2019-10;110;2019-09;260;2019-08;70;2019-07;30;2019-06;40;2019-06;40
"carolina panthers championships";LOW;18;90;0.02;7.7;2020-04;70;2020-03;70;2020-02;50;2020-01;140;2019-12;140;2019-11;70;2019-10;110;2019-09;170;2019-08;110;2019-07;70;2019-06;70;2019-06;70
"youth panthers jersey";LOW;47;90;0.45;94.1;2020-04;40;2020-03;20;2020-02;30;2020-01;40;2019-12;260;2019-11;210;2019-10;170;2019-09;210;2019-08;70;2019-07;40;2019-06;20;2019-06;20
"north carolina panthers jersey";LOW;44;90;0.74;100;2020-04;70;2020-03;40;2020-02;40;2020-01;70;2019-12;140;2019-11;110;2019-10;140;2019-09;170;2019-08;70;2019-07;70;2019-06;40;2019-06;40
"nike panthers hoodie";LOW;49;90;0.73;100;2020-04;30;2020-03;30;2020-02;50;2020-01;70;2019-12;210;2019-11;260;2019-10;140;2019-09;70;2019-08;70;2019-07;20;2019-06;10;2019-06;10
