Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike fleece tech pants";LOW;55;8100;0.55;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;8100;2019-08;6600;2019-07;5400;2019-06;4400;2019-05;5400;2019-04;5400;2019-03;8100;2019-02;8100;2019-01;9900
"nike tech fleece pants";LOW;55;8100;0.55;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;8100;2019-08;6600;2019-07;5400;2019-06;4400;2019-05;5400;2019-04;5400;2019-03;8100;2019-02;8100
"nike pants tech fleece";LOW;55;8100;0.55;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;8100;2019-08;6600;2019-07;5400;2019-06;4400;2019-05;5400;2019-04;5400;2019-03;8100;2019-02;8100;2019-01;9900
"tech fleece pants nike";LOW;55;8100;0.55;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;8100;2019-08;6600;2019-07;5400;2019-06;4400;2019-05;5400;2019-04;5400;2019-03;8100;2019-02;8100;2019-01;9900
"nike tech fleece jogger";LOW;55;8100;0.61;100;2020-04;8100;2020-03;8100;2020-02;8100;2020-01;8100;2019-12;18100;2019-11;14800;2019-10;8100;2019-09;6600;2019-08;5400;2019-07;3600;2019-06;2900;2019-05;3600;2019-04;3600;2019-03;5400;2019-02;5400;2019-01;6600
"nike pants women's";LOW;60;8100;0.7;100;2020-04;8100;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;8100;2019-08;6600;2019-07;5400;2019-06;4400;2019-05;5400;2019-04;6600;2019-03;8100;2019-02;6600;2019-01;8100
"nike fleece hoodie";LOW;60;8100;0.6;100;2020-04;4400;2020-03;5400;2020-02;8100;2020-01;12100;2019-12;22200;2019-11;18100;2019-10;9900;2019-09;5400;2019-08;4400;2019-07;2900;2019-06;1900;2019-06;1900
"nike tech fleece women's pants";LOW;42;590;0.45;100;2020-04;880;2020-03;480;2020-02;480;2020-01;590;2019-12;1600;2019-11;880;2019-10;720;2019-09;590;2019-08;390;2019-07;390;2019-06;320;2019-05;390;2019-04;390;2019-03;480;2019-02;590;2019-01;880
"nike women's tech fleece pants";LOW;42;590;0.62;100;2020-03;480;2020-02;480;2020-01;590;2019-12;1600;2019-11;880;2019-10;720;2019-09;590;2019-08;390;2019-07;390;2019-06;320;2019-05;390;2019-04;390
"women's nike tech fleece pants";LOW;42;590;0.62;100;2020-03;480;2020-02;480;2020-01;590;2019-12;1600;2019-11;880;2019-10;720;2019-09;590;2019-08;390;2019-07;390;2019-06;320;2019-05;390;2019-04;390;2019-03;480;2019-02;590;2019-01;880
"nike tech fleece pants womens";LOW;42;590;0.45;100;2020-04;880;2020-03;480;2020-02;480;2020-01;590;2019-12;1600;2019-11;880;2019-10;720;2019-09;590;2019-08;390;2019-07;390;2019-06;320;2019-05;390;2019-04;390;2019-03;480;2019-02;590;2019-01;880
"nike fleece tech pants women's";LOW;42;590;0.45;100;2020-04;880;2020-03;480;2020-02;480;2020-01;590;2019-12;1600;2019-11;880;2019-10;720;2019-09;590;2019-08;390;2019-07;390;2019-06;320;2019-05;390;2019-04;390;2019-03;480;2019-02;590;2019-01;880
"nike tech fleece hoodie sale";LOW;42;590;0.45;100;2020-04;590;2020-03;720;2020-02;590;2020-01;590;2019-12;1000;2019-11;720;2019-10;880;2019-09;720;2019-08;390;2019-07;110;2019-06;110;2019-05;140;2019-04;110;2019-03;210;2019-02;260;2019-01;260
"nike tech grey";LOW;50;590;0.43;100;2020-04;590;2020-03;720;2020-02;720;2020-01;590;2019-12;1300;2019-11;1000;2019-10;880;2019-09;590;2019-08;320;2019-07;170;2019-06;170;2019-06;170
"nike fleece jacket men's";LOW;44;590;0.64;97.8;2020-04;480;2020-03;480;2020-02;590;2020-01;720;2019-12;1300;2019-11;1300;2019-10;880;2019-09;590;2019-08;390;2019-07;480;2019-06;170;2019-06;170
"tech fleece hoodie";LOW;50;590;0.5;100;2020-04;480;2020-03;390;2020-02;590;2020-01;590;2019-12;1000;2019-11;880;2019-10;880;2019-09;590;2019-08;480;2019-07;320;2019-06;320;2019-06;320
"nike fleece sweatsuit";LOW;50;590;0.47;100;2020-04;390;2020-03;390;2020-02;720;2020-01;720;2019-12;1600;2019-11;1600;2019-10;880;2019-09;480;2019-08;140;2019-07;90;2019-06;110;2019-06;110
"black nike tech suit";LOW;45;590;0.43;99.9;2020-04;720;2020-03;720;2020-02;720;2020-01;590;2019-12;1300;2019-11;1000;2019-10;720;2019-09;480;2019-08;210;2019-07;90;2019-06;140;2019-06;140
"mens nike fleece";LOW;50;590;0.54;100;2020-04;320;2020-03;390;2020-02;480;2020-01;720;2019-12;1600;2019-11;1300;2019-10;590;2019-09;390;2019-08;210;2019-07;170;2019-06;170;2019-06;170
"nike tech fleece pants mens";LOW;41;480;0.51;100;2020-04;480;2020-03;480;2020-02;390;2020-01;390;2019-12;720;2019-11;720;2019-10;720;2019-09;390;2019-08;390;2019-07;260;2019-06;210;2019-05;210;2019-04;260;2019-03;320;2019-02;480;2019-01;480
"nike tech fleece pants sale";LOW;41;480;0.5;100;2020-04;390;2020-03;390;2020-02;480;2020-01;390;2019-12;720;2019-11;480;2019-10;590;2019-09;720;2019-08;480;2019-07;320;2019-06;170;2019-05;260;2019-04;210;2019-03;320;2019-02;320;2019-01;390
"nike tech fleece pants black";LOW;41;480;0.47;100;2020-04;480;2020-03;590;2020-02;480;2020-01;480;2019-12;720;2019-11;590;2019-10;590;2019-09;480;2019-08;480;2019-07;260;2019-06;260;2019-05;210;2019-04;260;2019-03;390;2019-02;260;2019-01;390
"nike tech fleece joggers grey";LOW;41;480;0.46;100;2020-04;320;2020-03;320;2020-02;480;2020-01;590;2019-12;1000;2019-11;720;2019-10;480;2019-09;390;2019-08;480;2019-07;260;2019-06;260;2019-05;210;2019-04;170;2019-03;320;2019-02;210;2019-01;390;2018-12;390
"nike black tech fleece";LOW;45;480;0.41;100;2020-04;480;2020-03;390;2020-02;480;2020-01;480;2019-12;880;2019-11;720;2019-10;590;2019-09;390;2019-08;320;2019-07;260;2019-06;170;2019-05;140;2019-04;170;2019-03;260;2019-02;320;2019-01;390
"nike dress pants";LOW;50;480;0.71;100;2020-04;210;2020-03;320;2020-02;390;2020-01;590;2019-12;720;2019-11;590;2019-10;590;2019-09;720;2019-08;590;2019-07;480;2019-06;480;2019-05;590;2019-04;590;2019-03;590;2019-02;480;2019-01;390
"nike tech fleece black";LOW;45;480;0.41;100;2020-04;480;2020-03;390;2020-02;480;2020-01;480;2019-12;880;2019-11;720;2019-10;590;2019-09;390;2019-08;320;2019-07;260;2019-06;170;2019-06;170
"nike tech tracksuit";LOW;50;480;0.53;100;2020-04;480;2020-03;480;2020-02;480;2020-01;480;2019-12;1000;2019-11;720;2019-10;720;2019-09;720;2019-08;480;2019-07;170;2019-06;140;2019-06;140
"nike tech fleece sweatsuit";LOW;45;480;0.5;100;2020-04;480;2020-03;480;2020-02;480;2020-01;480;2019-12;1300;2019-11;1000;2019-10;720;2019-09;390;2019-08;260;2019-07;170;2019-06;140;2019-06;140
"black nike tech pants";LOW;45;480;0.52;100;2020-04;480;2020-03;390;2020-02;480;2020-01;480;2019-12;720;2019-11;590;2019-10;590;2019-09;480;2019-08;390;2019-07;260;2019-06;210;2019-06;210
"nike fleece tech";LOW;50;480;0.56;100;2020-04;480;2020-03;390;2020-02;390;2020-01;390;2019-12;1000;2019-11;880;2019-10;590;2019-09;320;2019-08;320;2019-07;140;2019-06;140;2019-06;140
"nike tech fleece pants grey";LOW;41;390;0.51;100;2020-04;390;2020-03;320;2020-02;390;2020-01;480;2019-12;720;2019-11;720;2019-10;390;2019-09;320;2019-08;260;2019-07;210;2019-06;210;2019-05;170;2019-04;210;2019-03;390;2019-02;260;2019-01;390
"mens nike tech fleece pants";LOW;41;390;0.84;100;2020-03;480;2020-02;390;2020-01;390;2019-12;720;2019-11;720;2019-10;720;2019-09;390;2019-08;390;2019-07;260;2019-06;210;2019-05;210;2019-04;260;2019-03;320;2019-02;480;2019-01;480
"nike sportswear tech fleece shorts";LOW;41;390;0.73;100;2020-04;590;2020-03;320;2020-02;140;2020-01;210;2019-12;390;2019-11;210;2019-10;140;2019-09;260;2019-08;590;2019-07;720;2019-06;590;2019-05;590;2019-04;590;2019-03;260;2019-02;110;2019-01;110
"nike full zip fleece hoodie";LOW;41;390;0.58;100;2020-04;260;2020-03;320;2020-02;480;2020-01;590;2019-12;1000;2019-11;720;2019-10;390;2019-09;210;2019-08;260;2019-07;210;2019-06;90;2019-05;110;2019-04;90;2019-03;320;2019-02;390;2019-01;590
"nike tech fleece grey";LOW;45;390;0.51;100;2020-04;390;2020-03;390;2020-02;480;2020-01;480;2019-12;720;2019-11;480;2019-10;480;2019-09;390;2019-08;170;2019-07;140;2019-06;140;2019-06;140
"nike tech sweats";LOW;50;390;0.45;100;2020-04;320;2020-03;320;2020-02;390;2020-01;320;2019-12;720;2019-11;480;2019-10;480;2019-09;390;2019-08;320;2019-07;210;2019-06;210;2019-06;210
"grey nike tech suit";LOW;45;390;0.56;100;2020-04;320;2020-03;390;2020-02;390;2020-01;480;2019-12;1000;2019-11;720;2019-10;590;2019-09;320;2019-08;170;2019-07;70;2019-06;50;2019-06;50
"nike fleece tracksuit";LOW;50;390;0.59;99.9;2020-04;260;2020-03;210;2020-02;320;2020-01;260;2019-12;880;2019-11;720;2019-10;480;2019-09;320;2019-08;320;2019-07;210;2019-06;170;2019-06;170
"tech fleece pants";LOW;50;390;0.6;100;2020-04;320;2020-03;320;2020-02;390;2020-01;390;2019-12;590;2019-11;590;2019-10;480;2019-09;390;2019-08;390;2019-07;260;2019-06;320;2019-06;320
"nike tech fleece joggers black";LOW;41;390;0.52;100;2020-04;320;2020-03;260;2020-02;390;2020-01;390;2019-12;590;2019-11;480;2019-10;480;2019-09;390;2019-08;390;2019-07;170;2019-06;170;2019-06;170
