Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike gold pants";LOW;60;8100;0.8;100;2020-04;5400;2020-03;6600;2020-02;8100;2020-01;6600;2019-12;8100;2019-11;6600;2019-10;8100;2019-09;6600;2019-08;8100;2019-07;6600;2019-06;8100;2019-05;9900;2019-04;12100;2019-03;9900;2019-02;6600;2019-01;50
"grey nike shorts";LOW;60;8100;0.52;100;2020-04;14800;2020-03;12100;2020-02;6600;2020-01;4400;2019-12;6600;2019-11;6600;2019-10;5400;2019-09;6600;2019-08;9900;2019-07;9900;2019-06;9900;2019-06;9900
"nike pants women";LOW;60;8100;0.7;100;2020-04;8100;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;8100;2019-08;6600;2019-07;5400;2019-06;4400;2019-06;4400
"black nike windbreaker";LOW;60;8100;0.37;100;2020-04;4400;2020-03;5400;2020-02;6600;2020-01;6600;2019-12;12100;2019-11;12100;2019-10;9900;2019-09;8100;2019-08;8100;2019-07;6600;2019-06;4400;2019-06;4400
"nike clothes for men";LOW;55;8100;0.92;100;2020-04;9900;2020-03;6600;2020-02;6600;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;6600;2019-08;6600;2019-07;8100;2019-06;8100;2019-06;8100
"nike suit";LOW;67;8100;0.41;100;2020-04;8100;2020-03;6600;2020-02;8100;2020-01;14800;2019-12;18100;2019-11;14800;2019-10;12100;2019-09;6600;2019-08;4400;2019-07;3600;2019-06;2900;2019-06;2900
"black nike shorts";LOW;60;8100;0.58;100;2020-04;12100;2020-03;8100;2020-02;5400;2020-01;4400;2019-12;5400;2019-11;5400;2019-10;5400;2019-09;8100;2019-08;12100;2019-07;12100;2019-06;9900;2019-06;9900
"black and gold nikes";LOW;55;8100;0.64;100;2020-04;4400;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;12100;2019-11;9900;2019-10;8100;2019-09;8100;2019-08;9900;2019-07;6600;2019-06;5400;2019-06;5400
"black and gold nike pants";LOW;41;170;0.41;100;2020-04;260;2020-03;110;2020-02;210;2020-01;170;2019-12;260;2019-11;210;2019-10;140;2019-09;70;2019-08;70;2019-07;70;2019-06;70;2019-05;320
"nike air jacket women's";LOW;44;170;0.45;100;2020-04;140;2020-03;140;2020-02;170;2020-01;140;2019-12;210;2019-11;210;2019-10;210;2019-09;170;2019-08;140;2019-07;110;2019-06;90;2019-06;90
"nike running capris";LOW;49;170;0.71;100;2020-04;320;2020-03;170;2020-02;110;2020-01;110;2019-12;140;2019-11;170;2019-10;170;2019-09;170;2019-08;170;2019-07;140;2019-06;170;2019-06;170
"nike sports leggings";LOW;49;170;0.55;100;2020-04;170;2020-03;90;2020-02;140;2020-01;140;2019-12;210;2019-11;320;2019-10;260;2019-09;170;2019-08;170;2019-07;170;2019-06;170;2019-06;170
"nike air track pants";LOW;44;170;0.5;100;2020-04;50;2020-03;50;2020-02;50;2020-01;110;2019-12;260;2019-11;210;2019-10;320;2019-09;480;2019-08;110;2019-07;90;2019-06;110;2019-06;110
"nike slacks";LOW;57;170;1.11;100;2020-04;110;2020-03;110;2020-02;170;2020-01;260;2019-12;170;2019-11;210;2019-10;210;2019-09;170;2019-08;210;2019-07;170;2019-06;210;2019-06;210
"nike long pants";LOW;49;170;1.26;100;2020-04;70;2020-03;90;2020-02;170;2020-01;140;2019-12;320;2019-11;320;2019-10;320;2019-09;210;2019-08;170;2019-07;140;2019-06;110;2019-06;110
"cheap nike pro leggings";LOW;44;170;0.81;100;2020-04;210;2020-03;210;2020-02;210;2020-01;210;2019-12;210;2019-11;170;2019-10;170;2019-09;70;2019-08;110;2019-07;140;2019-06;90;2019-06;90
"nike sweats womens";LOW;49;170;0.5;100;2020-04;140;2020-03;140;2020-02;170;2020-01;210;2019-12;480;2019-11;390;2019-10;140;2019-09;140;2019-08;90;2019-07;90;2019-06;70;2019-06;70
"nike spandex pants";LOW;49;170;0.52;100;2020-04;110;2020-03;210;2020-02;170;2020-01;170;2019-12;170;2019-11;140;2019-10;110;2019-09;170;2019-08;170;2019-07;170;2019-06;170;2019-06;170
"nike coaching pants";LOW;49;170;0.95;100;2020-04;40;2020-03;90;2020-02;110;2020-01;210;2019-12;260;2019-11;210;2019-10;260;2019-09;390;2019-08;320;2019-07;140;2019-06;70;2019-06;70
"mens nike khaki shorts";LOW;44;170;0.58;100;2020-04;140;2020-03;90;2020-02;70;2020-01;70;2019-12;50;2019-11;50;2019-10;70;2019-09;140;2019-08;260;2019-07;320;2019-06;320;2019-06;320
"nike leopard print leggings";LOW;44;170;0.54;100;2020-04;170;2020-03;140;2020-02;140;2020-01;170;2019-12;170;2019-11;140;2019-10;170;2019-09;210;2019-08;140;2019-07;90;2019-06;170;2019-06;170
"black and white nike pants";LOW;41;170;0.34;100;2020-04;140;2020-03;140;2020-02;260;2020-01;170;2019-12;320;2019-11;260;2019-10;170;2019-09;140;2019-08;110;2019-07;170;2019-06;110;2019-06;110
"nike tracksuit sale";LOW;49;170;0.52;100;2020-04;210;2020-03;170;2020-02;210;2020-01;210;2019-12;390;2019-11;210;2019-10;320;2019-09;110;2019-08;110;2019-07;110;2019-06;70;2019-06;70
"nike loose fit pants";LOW;44;170;0.87;100;2020-04;170;2020-03;210;2020-02;260;2020-01;260;2019-12;320;2019-11;210;2019-10;210;2019-09;210;2019-08;140;2019-07;50;2019-06;50;2019-06;50
"nike tight fit leggings";LOW;44;170;0.56;100;2020-04;110;2020-03;170;2020-02;260;2020-01;390;2019-12;320;2019-11;320;2019-10;110;2019-09;140;2019-08;210;2019-07;110;2019-06;70;2019-06;70
"nike capri pants";LOW;49;170;0.62;100;2020-04;210;2020-03;170;2020-02;110;2020-01;140;2019-12;170;2019-11;140;2019-10;140;2019-09;140;2019-08;170;2019-07;140;2019-06;170;2019-06;170
"rose gold nike pants";LOW;44;70;0.39;100;2020-04;40;2020-03;40;2020-02;40;2020-01;50;2019-12;110;2019-11;70;2019-10;140;2019-09;90;2019-08;110;2019-07;40;2019-06;30;2019-05;50;2019-04;70;2019-03;90;2019-02;140;2019-01;170
"nike rose gold pants";LOW;44;70;0.39;100;2020-04;40;2020-03;40;2020-02;40;2020-01;50;2019-12;110;2019-11;70;2019-10;140;2019-09;90;2019-08;110;2019-07;40;2019-06;30;2019-05;50;2019-04;70;2019-03;90;2019-02;140;2019-01;170
"nike skinny joggers womens";LOW;44;70;0.88;100;2020-04;70;2020-03;40;2020-02;50;2020-01;90;2019-12;140;2019-11;170;2019-10;140;2019-09;70;2019-08;70;2019-07;40;2019-06;50;2019-06;50
"cheap nike tights women's";LOW;44;70;0.76;100;2020-04;90;2020-03;70;2020-02;50;2020-01;70;2019-12;90;2019-11;50;2019-10;140;2019-09;90;2019-08;30;2019-07;30;2019-06;30;2019-06;30
"gold nike tights";LOW;49;70;0.4;98.6;2020-04;70;2020-03;70;2020-02;70;2020-01;90;2019-12;70;2019-11;70;2019-10;90;2019-09;90;2019-08;50;2019-07;30;2019-06;50;2019-06;50
