Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike sweat pants for men";LOW;62;27100;0.74;100;2020-04;27100;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;90500;2019-11;60500;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;9900;2019-03;14800;2019-02;14800;2019-01;18100
"nike pants";LOW;77;27100;0.57;100;2020-04;22200;2020-03;22200;2020-02;27100;2020-01;22200;2019-12;40500;2019-11;40500;2019-10;27100;2019-09;22200;2019-08;22200;2019-07;18100;2019-06;14800;2019-05;18100;2019-04;18100;2019-03;22200;2019-02;22200
"nike sweatpants men";LOW;70;27100;0.74;100;2020-04;27100;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;90500;2019-11;60500;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;9900;2019-03;14800;2019-02;14800;2019-01;18100
"mens nike sweatpants";LOW;70;27100;0.74;100;2020-04;27100;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;90500;2019-11;60500;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-06;8100
"nike clothes";LOW;77;27100;0.64;100;2020-04;33100;2020-03;22200;2020-02;22200;2020-01;18100;2019-12;40500;2019-11;40500;2019-10;27100;2019-09;22200;2019-08;27100;2019-07;27100;2019-06;18100;2019-06;18100
"mens dress pants";LOW;70;27100;2.32;100;2020-04;12100;2020-03;18100;2020-02;27100;2020-01;27100;2019-12;33100;2019-11;33100;2019-10;33100;2019-09;33100;2019-08;27100;2019-07;27100;2019-06;22200;2019-06;22200
"nike pants for men";LOW;59;12100;0.73;100;2020-04;9900;2020-03;9900;2020-02;12100;2020-01;9900;2019-12;22200;2019-11;18100;2019-10;14800;2019-09;9900;2019-08;9900;2019-07;8100;2019-06;6600;2019-05;6600;2019-04;6600;2019-03;9900;2019-02;9900;2019-01;8100
"men nike pants";LOW;64;12100;0.82;100;2020-03;9900;2020-02;12100;2020-01;9900;2019-12;22200;2019-11;18100;2019-10;14800;2019-09;9900;2019-08;9900;2019-07;8100;2019-06;6600;2019-05;6600;2019-04;6600
"nike outfits for men";LOW;59;12100;0.65;100;2020-04;14800;2020-03;9900;2020-02;12100;2020-01;9900;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;12100;2019-08;12100;2019-07;12100;2019-06;12100;2019-06;12100
"nike sweat suits mens";LOW;59;12100;0.59;100;2020-04;8100;2020-03;6600;2020-02;9900;2020-01;9900;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;9900;2019-08;5400;2019-07;2900;2019-06;2400;2019-06;2400
"mens leather pants";LOW;64;12100;0.82;100;2020-04;9900;2020-03;9900;2020-02;12100;2020-01;14800;2019-12;14800;2019-11;14800;2019-10;18100;2019-09;12100;2019-08;9900;2019-07;9900;2019-06;8100;2019-06;8100
"nike swimsuit";LOW;71;12100;0.65;100;2020-04;9900;2020-03;12100;2020-02;12100;2020-01;12100;2019-12;8100;2019-11;8100;2019-10;5400;2019-09;6600;2019-08;9900;2019-07;18100;2019-06;22200;2019-06;22200
"boys nike shorts";LOW;64;12100;0.83;100;2020-04;22200;2020-03;12100;2020-02;8100;2020-01;5400;2019-12;6600;2019-11;6600;2019-10;5400;2019-09;8100;2019-08;14800;2019-07;18100;2019-06;18100;2019-06;18100
