Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike sweat pants for men";LOW;62;27100;0.74;100;2020-04;27100;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;90500;2019-11;60500;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;9900;2019-03;14800;2019-02;14800;2019-01;18100
"nike pants";LOW;77;27100;0.57;100;2020-04;22200;2020-03;22200;2020-02;27100;2020-01;22200;2019-12;40500;2019-11;40500;2019-10;27100;2019-09;22200;2019-08;22200;2019-07;18100;2019-06;14800;2019-06;14800
"nike clothes";LOW;77;27100;0.64;100;2020-04;33100;2020-03;22200;2020-02;22200;2020-01;18100;2019-12;40500;2019-11;40500;2019-10;27100;2019-09;22200;2019-08;27100;2019-07;27100;2019-06;18100;2019-06;18100
"nike jumpsuit";LOW;77;27100;0.42;100;2020-04;22200;2020-03;18100;2020-02;22200;2020-01;22200;2019-12;60500;2019-11;49500;2019-10;40500;2019-09;22200;2019-08;14800;2019-07;12100;2019-06;12100;2019-06;12100
sweatpants;LOW;88;165000;1.06;100;2020-04;301000;2020-03;201000;2020-02;165000;2020-01;165000;2019-12;246000;2019-11;301000;2019-10;201000;2019-09;135000;2019-08;135000;2019-07;90500;2019-06;60500;2019-06;60500
"nike sweatpants";LOW;77;135000;0.52;100;2020-04;135000;2020-03;110000;2020-02;135000;2020-01;135000;2019-12;368000;2019-11;301000;2019-10;165000;2019-09;90500;2019-08;74000;2019-07;60500;2019-06;40500;2019-06;40500
"joggers for men";LOW;70;90500;1.84;100;2020-04;90500;2020-03;60500;2020-02;74000;2020-01;74000;2019-12;165000;2019-11;135000;2019-10;90500;2019-09;74000;2019-08;74000;2019-07;60500;2019-06;49500;2019-06;49500
"nike joggers";LOW;77;74000;0.54;100;2020-04;60500;2020-03;49500;2020-02;60500;2020-01;60500;2019-12;165000;2019-11;135000;2019-10;74000;2019-09;60500;2019-08;49500;2019-07;40500;2019-06;33100;2019-06;33100
"nike sweatsuit";LOW;77;74000;0.48;100;2020-04;49500;2020-03;40500;2020-02;60500;2020-01;60500;2019-12;201000;2019-11;165000;2019-10;110000;2019-09;74000;2019-08;40500;2019-07;22200;2019-06;14800;2019-06;14800
"adidas sweatpants";LOW;77;60500;0.81;100;2020-04;49500;2020-03;40500;2020-02;49500;2020-01;60500;2019-12;110000;2019-11;110000;2019-10;74000;2019-09;49500;2019-08;49500;2019-07;40500;2019-06;27100;2019-06;27100
"mens sweatpants";LOW;77;60500;2.04;100;2020-04;74000;2020-03;49500;2020-02;49500;2020-01;60500;2019-12;110000;2019-11;110000;2019-10;74000;2019-09;40500;2019-08;33100;2019-07;22200;2019-06;18100;2019-06;18100
