Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike sweat pants";LOW;70;135000;0.52;100;2020-04;135000;2020-03;110000;2020-02;135000;2020-01;135000;2019-12;368000;2019-11;301000;2019-10;165000;2019-09;90500;2019-08;74000;2019-07;60500;2019-06;40500;2019-05;40500;2019-04;49500;2019-03;74000;2019-02;74000;2019-01;90500
"nike womens sweat pants";LOW;65;40500;0.58;100;2020-04;40500;2020-03;33100;2020-02;40500;2020-01;40500;2019-12;110000;2019-11;90500;2019-10;40500;2019-09;22200;2019-08;18100;2019-07;12100;2019-06;8100;2019-05;9900;2019-04;12100;2019-03;18100;2019-02;18100;2019-01;22200
"nike sweatpants women";LOW;70;40500;0.58;100;2020-04;40500;2020-03;33100;2020-02;40500;2020-01;40500;2019-12;110000;2019-11;90500;2019-10;40500;2019-09;22200;2019-08;18100;2019-07;12100;2019-06;8100;2019-06;8100
"jogger pants";LOW;77;40500;1.5;100;2020-04;40500;2020-03;33100;2020-02;33100;2020-01;40500;2019-12;49500;2019-11;49500;2019-10;49500;2019-09;40500;2019-08;40500;2019-07;33100;2019-06;27100;2019-06;27100
"nike sweat pants for men";LOW;62;27100;0.74;100;2020-04;27100;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;90500;2019-11;60500;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;9900;2019-03;14800;2019-02;14800;2019-01;18100
"nike men's sweat pants";LOW;65;27100;0.74;100;2020-04;27100;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;90500;2019-11;60500;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;9900;2019-03;14800;2019-02;14800;2019-01;18100
"nike sweatpants men";LOW;70;27100;0.74;100;2020-04;27100;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;90500;2019-11;60500;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;9900;2019-03;14800;2019-02;14800;2019-01;18100
"nike pants";LOW;77;27100;0.57;100;2020-04;22200;2020-03;22200;2020-02;27100;2020-01;22200;2019-12;40500;2019-11;40500;2019-10;27100;2019-09;22200;2019-08;22200;2019-07;18100;2019-06;14800;2019-06;14800
"mens nike sweatpants";LOW;70;27100;0.74;100;2020-04;27100;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;90500;2019-11;60500;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-06;8100
"boys nike sweat pants";LOW;49;3600;0.65;100;2020-04;2900;2020-03;2400;2020-02;3600;2020-01;4400;2019-12;9900;2019-11;8100;2019-10;5400;2019-09;2900;2019-08;2400;2019-07;1300;2019-06;880;2019-05;880;2019-04;1300;2019-03;1900;2019-02;1900;2019-01;1900
"nike sweatpants boys";LOW;54;3600;0.65;100;2020-04;2900;2020-03;2400;2020-02;3600;2020-01;4400;2019-12;9900;2019-11;8100;2019-10;5400;2019-09;2900;2019-08;2400;2019-07;1300;2019-06;880;2019-05;880;2019-04;1300;2019-03;1900;2019-02;1900;2019-01;1900
"grey nike sweatpants men's";LOW;49;3600;0.44;100;2020-04;3600;2020-03;2900;2020-02;3600;2020-01;5400;2019-12;12100;2019-11;8100;2019-10;4400;2019-09;2400;2019-08;1600;2019-07;1000;2019-06;720;2019-05;590;2019-04;0
"boys nike sweatshirt";LOW;54;3600;0.74;100;2020-04;1600;2020-03;2400;2020-02;2900;2020-01;2900;2019-12;9900;2019-11;8100;2019-10;4400;2019-09;2900;2019-08;2400;2019-07;1600;2019-06;1000;2019-05;1600;2019-04;1600;2019-03;1900;2019-02;1900;2019-01;2400
"nike sweats women";LOW;54;3600;0.54;100;2020-04;3600;2020-03;2400;2020-02;2900;2020-01;3600;2019-12;9900;2019-11;8100;2019-10;3600;2019-09;2400;2019-08;1900;2019-07;1600;2019-06;880;2019-06;880
