Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"track pants nike";LOW;62;9900;0.59;100;2020-01;9900;2019-12;12100;2019-11;12100;2019-10;12100;2019-09;9900;2019-08;9900;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;8100;2019-03;9900;2019-02;8100;2019-01;8100
"nike track pants";LOW;62;9900;0.63;100;2020-04;12100;2020-03;9900;2020-02;9900;2020-01;9900;2019-12;12100;2019-11;12100;2019-10;12100;2019-09;9900;2019-08;9900;2019-07;9900;2019-06;8100;2019-05;8100;2019-04;8100;2019-03;9900;2019-02;8100;2019-01;8100
"black nike sweatpants";LOW;62;9900;0.35;100;2020-04;9900;2020-03;9900;2020-02;12100;2020-01;12100;2019-12;27100;2019-11;22200;2019-10;9900;2019-09;5400;2019-08;5400;2019-07;3600;2019-06;2400;2019-06;2400
"nike jogging suit men";LOW;57;9900;0.63;100;2020-04;6600;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;6600;2019-08;4400;2019-07;2400;2019-06;2400;2019-06;2400
"nike track pants mens";LOW;48;2400;0.65;100;2020-04;2900;2020-03;2400;2020-02;2400;2020-01;2400;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;2400;2019-08;2400;2019-07;2400;2019-06;1900;2019-05;2400;2019-04;1900;2019-03;2400;2019-02;1900
"nike mens track pants";LOW;48;2400;0.65;100;2020-04;2900;2020-03;2400;2020-02;2400;2020-01;2400;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;2400;2019-08;2400;2019-07;2400;2019-06;1900;2019-05;2400;2019-04;1900;2019-03;2400;2019-02;1900;2019-01;1900
"mens nike track pants";LOW;48;2400;0.65;100;2020-04;2900;2020-03;2400;2020-02;2400;2020-01;2400;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;2400;2019-08;2400;2019-07;2400;2019-06;1900;2019-05;2400;2019-04;1900;2019-03;2400;2019-02;1900;2019-01;1900
"mens track pants nike";LOW;48;2400;0.65;100;2020-04;2900;2020-03;2400;2020-02;2400;2020-01;2400;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;2400;2019-08;2400;2019-07;2400;2019-06;1900;2019-05;2400;2019-04;1900;2019-03;2400;2019-02;1900;2019-01;1900
"track pants men nike";LOW;48;2400;0.63;100;2020-02;2400;2020-01;2400;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;2400;2019-08;2400;2019-07;2400;2019-06;1900;2019-05;2400;2019-04;1900;2019-03;2400;2019-02;1900;2019-01;1900
"track pants nike mens";LOW;48;2400;0.61;100;2020-01;2400;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;2400;2019-08;2400;2019-07;2400;2019-06;1900;2019-05;2400;2019-04;1900;2019-03;2400;2019-02;1900;2019-01;1900
"nike track pants for mens";LOW;44;2400;0.65;100;2020-04;2900;2020-03;2400;2020-02;2400;2020-01;2400;2019-12;3600;2019-11;2900;2019-10;2400;2019-09;2400;2019-08;2400;2019-07;2400;2019-06;1900;2019-05;2400;2019-04;1900;2019-03;2400;2019-02;1900;2019-01;1900
"gym pants men";LOW;53;2400;1.81;100;2020-03;1600;2020-02;2900;2020-01;3600;2019-12;3600;2019-11;3600;2019-10;2900;2019-09;1900;2019-08;1900;2019-07;1600;2019-06;1900;2019-05;1900;2019-04;1900;2019-03;2900;2019-02;2400
"nike track";LOW;43;2400;0.77;47.7;2020-04;4400;2020-03;2400;2020-02;2400;2020-01;1900;2019-12;2900;2019-11;2400;2019-10;1900;2019-09;1900;2019-08;2400;2019-07;1900;2019-06;1300;2019-06;1300
"nike women's track pants";LOW;46;1300;0.68;100;2020-04;1600;2020-03;1300;2020-02;1300;2020-01;1300;2019-12;1600;2019-11;1600;2019-10;1600;2019-09;1600;2019-08;1300;2019-07;1000;2019-06;1000;2019-05;1000;2019-04;1000;2019-03;1600;2019-02;1300;2019-01;1300
"nike track pants for womens";LOW;43;1300;0.68;100;2020-04;1600;2020-03;1300;2020-02;1300;2020-01;1300;2019-12;1600;2019-11;1600;2019-10;1600;2019-09;1600;2019-08;1300;2019-07;1000;2019-06;1000;2019-05;1000;2019-04;1000;2019-03;1600;2019-02;1300;2019-01;1300
