Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"under armor pants";LOW;60;8100;1.16;100;2020-01;8100;2019-12;12100;2019-11;12100;2019-10;9900;2019-09;6600;2019-08;6600;2019-07;5400;2019-06;4400;2019-05;5400;2019-04;6600;2019-03;8100;2019-02;8100;2019-01;9900
"nike golf pants";LOW;60;8100;0.8;100;2020-04;5400;2020-03;6600;2020-02;8100;2020-01;6600;2019-12;8100;2019-11;6600;2019-10;8100;2019-09;6600;2019-08;8100;2019-07;6600;2019-06;8100;2019-05;9900;2019-04;12100;2019-03;9900;2019-02;6600;2019-01;6600
"under armour tactical boots";LOW;55;8100;0.83;100;2020-01;8100;2019-12;8100;2019-11;8100;2019-10;8100;2019-09;6600;2019-08;6600;2019-07;6600;2019-06;6600;2019-05;6600;2019-04;6600;2019-03;8100;2019-02;8100;2019-01;8100;2018-12;8100
"under armour hoodie mens";LOW;55;8100;0.88;100;2020-04;4400;2020-03;4400;2020-02;6600;2020-01;6600;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;6600;2019-08;5400;2019-07;2900;2019-06;1900;2019-06;1900
"under armour underwear";LOW;60;8100;0.83;100;2020-04;8100;2020-03;5400;2020-02;6600;2020-01;6600;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;6600;2019-08;8100;2019-07;8100;2019-06;8100;2019-06;8100
"under armour shorts women";LOW;55;8100;0.8;100;2020-04;14800;2020-03;8100;2020-02;4400;2020-01;3600;2019-12;3600;2019-11;3600;2019-10;3600;2019-09;6600;2019-08;12100;2019-07;14800;2019-06;14800;2019-06;14800
"under armour hunting";LOW;60;8100;0.27;100;2020-04;6600;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;9900;2019-11;14800;2019-10;12100;2019-09;9900;2019-08;9900;2019-07;5400;2019-06;3600;2019-06;3600
"under armour kids shoes";LOW;55;8100;1.07;100;2020-04;5400;2020-03;5400;2020-02;6600;2020-01;6600;2019-12;9900;2019-11;8100;2019-10;5400;2019-09;6600;2019-08;18100;2019-07;18100;2019-06;8100;2019-06;8100
"under armor sweat pants";LOW;46;1000;0.92;100;2020-02;1000;2020-01;1300;2019-12;2400;2019-11;2400;2019-10;1300;2019-09;720;2019-08;590;2019-07;390;2019-06;320;2019-05;390;2019-04;480;2019-03;880;2019-02;880;2019-01;1000
"boys under armour leggings";LOW;46;1000;1.47;100;2020-03;480;2020-02;880;2020-01;1000;2019-12;2400;2019-11;2900;2019-10;1600;2019-09;590;2019-08;390;2019-07;390;2019-06;260;2019-05;320;2019-04;880;2019-03;1000;2019-02;880
"under armor underwear";LOW;51;1000;1.19;100;2020-04;880;2020-03;720;2020-02;880;2020-01;720;2019-12;1600;2019-11;1000;2019-10;880;2019-09;1000;2019-08;1000;2019-07;1000;2019-06;1000;2019-06;1000
"under armour tights";LOW;51;1000;1.13;100;2020-04;720;2020-03;880;2020-02;1000;2020-01;1300;2019-12;1600;2019-11;1600;2019-10;1300;2019-09;1000;2019-08;880;2019-07;880;2019-06;720;2019-06;720
"under armor socks";LOW;51;1000;1.38;100;2020-04;1300;2020-03;880;2020-02;880;2020-01;1000;2019-12;2400;2019-11;1900;2019-10;1000;2019-09;880;2019-08;1000;2019-07;1000;2019-06;880;2019-06;880
"under armour coldgear women's";LOW;46;1000;1.8;100;2020-04;260;2020-03;480;2020-02;1000;2020-01;1300;2019-12;2900;2019-11;3600;2019-10;1900;2019-09;880;2019-08;390;2019-07;170;2019-06;210;2019-06;210
