Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"underarmour sweat pants";LOW;60;8100;1.08;100;2020-01;9900;2019-12;22200;2019-11;22200;2019-10;12100;2019-09;6600;2019-08;4400;2019-07;3600;2019-06;2900;2019-05;3600;2019-04;4400;2019-03;8100;2019-02;8100;2019-01;9900
"jogger sweatpants";LOW;67;8100;1.32;100;2020-04;14800;2020-03;8100;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;14800;2019-10;9900;2019-09;6600;2019-08;6600;2019-07;4400;2019-06;2900;2019-06;2900
"mens underarmour sweat pants";LOW;48;2900;1.38;100;2020-04;2900;2020-03;1900;2020-02;2900;2020-01;3600;2019-12;8100;2019-11;6600;2019-10;4400;2019-09;1900;2019-08;1300;2019-07;1000;2019-06;880;2019-05;1000;2019-04;1300;2019-03;2400;2019-02;2400;2019-01;3600
"under armour womens pants";LOW;48;2900;1.17;100;2020-04;2400;2020-03;1900;2020-02;2400;2020-01;2900;2019-12;4400;2019-11;4400;2019-10;3600;2019-09;2900;2019-08;2400;2019-07;1900;2019-06;1900;2019-06;1900
"under armour clothing";LOW;53;2900;1.1;100;2020-04;2900;2020-03;1900;2020-02;2400;2020-01;2400;2019-12;4400;2019-11;4400;2019-10;2900;2019-09;2400;2019-08;2900;2019-07;2900;2019-06;1900;2019-06;1900
"under armour sweatpants womens";LOW;48;2900;1.06;100;2020-04;2400;2020-03;1900;2020-02;2900;2020-01;3600;2019-12;6600;2019-11;6600;2019-10;3600;2019-09;2400;2019-08;1600;2019-07;1000;2019-06;720;2019-06;720
"under armour joggers womens";LOW;48;2900;1.02;100;2020-04;4400;2020-03;2900;2020-02;2900;2020-01;3600;2019-12;5400;2019-11;5400;2019-10;2900;2019-09;1900;2019-08;1900;2019-07;1300;2019-06;1300;2019-06;1300
"under armour";LOW;54;1220000;0.15;29.7;2020-04;1220000;2020-03;823000;2020-02;1000000;2020-01;1000000;2019-12;1500000;2019-11;1500000;2019-10;1000000;2019-09;1000000;2019-08;1220000;2019-07;1220000;2019-06;1000000;2019-06;1000000
sweatpants;LOW;88;165000;1.06;100;2020-04;301000;2020-03;201000;2020-02;165000;2020-01;165000;2019-12;246000;2019-11;301000;2019-10;201000;2019-09;135000;2019-08;135000;2019-07;90500;2019-06;60500;2019-06;60500
"mens sweatpants";LOW;77;60500;2.04;100;2020-04;74000;2020-03;49500;2020-02;49500;2020-01;60500;2019-12;110000;2019-11;110000;2019-10;74000;2019-09;40500;2019-08;33100;2019-07;22200;2019-06;18100;2019-06;18100
"under armour t shirts";LOW;64;18100;1.24;100;2020-04;14800;2020-03;12100;2020-02;12100;2020-01;12100;2019-12;22200;2019-11;18100;2019-10;14800;2019-09;18100;2019-08;22200;2019-07;22200;2019-06;22200;2019-06;22200
