Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas crop sweatshirt";LOW;51;1300;1.23;100;2020-04;1900;2020-03;1300;2020-02;1000;2020-01;1300;2019-12;2400;2019-11;1600;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;880;2019-06;480;2019-05;590;2019-04;880;2019-03;1600;2019-02;1300;2019-01;1900
"adidas sweatshirt pink";LOW;51;1300;1.15;100;2020-04;720;2020-03;880;2020-02;1000;2020-01;1300;2019-12;1900;2019-11;1900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;880;2019-06;590;2019-05;720;2019-04;880;2019-03;1600;2019-02;1600;2019-01;2400
"adidas sweatshirt boys";LOW;51;1300;1.57;100;2020-04;590;2020-03;590;2020-02;1000;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;720;2019-06;480;2019-05;720;2019-04;880;2019-03;1300;2019-02;1000;2019-01;1600
"adidas nmd women's sale";LOW;46;1300;0.93;100;2020-04;1000;2020-03;1000;2020-02;1300;2020-01;1300;2019-12;1900;2019-11;1600;2019-10;720;2019-09;1000;2019-08;1300;2019-07;1600;2019-06;880;2019-05;720;2019-04;1000;2019-03;0;2019-02;0
"adidas floral jacket";LOW;51;1300;0.57;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1300;2019-08;1300;2019-07;1300;2019-06;1000;2019-05;1600;2019-04;1900;2019-03;1900;2019-02;1600
"pink adidas jacket";LOW;51;1300;1.09;100;2020-04;880;2020-03;1000;2020-02;1000;2020-01;1000;2019-12;1600;2019-11;1600;2019-10;1600;2019-09;1300;2019-08;1600;2019-07;1300;2019-06;1000;2019-05;1000;2019-04;1600;2019-03;1900;2019-02;1900;2019-01;2400
"adidas floral";LOW;58;1300;1.09;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1300;2019-08;1900;2019-07;1900;2019-06;1300;2019-06;1300
"adidas tank top womens";LOW;46;1300;0.94;100;2020-04;1600;2020-03;1000;2020-02;1000;2020-01;880;2019-12;720;2019-11;590;2019-10;720;2019-09;1000;2019-08;1600;2019-07;2400;2019-06;1900;2019-06;1900
"adidas leggings sale";LOW;51;1300;1.66;100;2020-04;1900;2020-03;1300;2020-02;1000;2020-01;1300;2019-12;1600;2019-11;1600;2019-10;1300;2019-09;1300;2019-08;1600;2019-07;1300;2019-06;880;2019-06;880
"vintage adidas jacket";LOW;51;1300;1.1;100;2020-04;1000;2020-03;1000;2020-02;1300;2020-01;1300;2019-12;1600;2019-11;1600;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;1000;2019-06;720;2019-06;720
"black adidas sweatshirt";LOW;51;1300;1.16;100;2020-04;880;2020-03;880;2020-02;1000;2020-01;1300;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1300;2019-08;1300;2019-07;880;2019-06;590;2019-06;590
"green adidas jacket";LOW;51;1300;0.73;100;2020-04;1000;2020-03;1600;2020-02;1300;2020-01;1600;2019-12;1900;2019-11;2400;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;880;2019-06;720;2019-06;720
"pink adidas sweatshirt";LOW;51;1300;1.15;100;2020-04;720;2020-03;880;2020-02;1000;2020-01;1300;2019-12;1900;2019-11;1900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;880;2019-06;590;2019-06;590
"crop sweatshirt adidas";LOW;51;1000;1.36;100;2020-03;1300;2020-02;1000;2020-01;1300;2019-12;2400;2019-11;1600;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;880;2019-06;480;2019-05;590;2019-04;880;2019-03;1600;2019-02;1300;2019-01;1900
"adidas clearance sale";LOW;51;1000;1.32;100;2020-04;590;2020-03;480;2020-02;590;2020-01;590;2019-12;1300;2019-11;1000;2019-10;1000;2019-09;880;2019-08;1600;2019-07;1600;2019-06;1600;2019-05;2400;2019-04;2400;2019-03;2900;2019-02;1900
"adidas leggings outfit";LOW;51;1000;1.09;100;2020-04;880;2020-03;880;2020-02;880;2020-01;1000;2019-12;1300;2019-11;1300;2019-10;1000;2019-09;1000;2019-08;1000;2019-07;880;2019-06;880;2019-05;880;2019-04;1300;2019-03;1600;2019-02;1000
