Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas sweatshirt girls";LOW;51;1300;1.41;100;2020-04;480;2020-03;590;2020-02;880;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1000;2019-08;1300;2019-07;1000;2019-06;720;2019-05;720;2019-04;880;2019-03;1300;2019-02;1300;2019-01;1600
"adidas girls sweatshirt";LOW;51;1300;1.41;100;2020-04;480;2020-03;590;2020-02;880;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1000;2019-08;1300;2019-07;1000;2019-06;720;2019-05;720;2019-04;880;2019-03;1300;2019-02;1300;2019-01;1600
"girls adidas sweatshirt";LOW;51;1300;1.41;100;2020-04;480;2020-03;590;2020-02;880;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1000;2019-08;1300;2019-07;1000;2019-06;720;2019-05;720;2019-04;880;2019-03;1300;2019-02;1300;2019-01;1600
"girls sweatshirt friends";LOW;51;1300;0.31;100;2020-03;720;2020-02;880;2020-01;1300;2019-12;2900;2019-11;2400;2019-10;2900;2019-09;1600;2019-08;1000;2019-07;880;2019-06;590;2019-05;480;2019-04;480;2019-03;590;2019-02;720;2019-01;880
"adidas floral jacket";LOW;51;1300;0.57;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1300;2019-08;1300;2019-07;1300;2019-06;1000;2019-05;1600;2019-04;1900;2019-03;1900;2019-02;1600
"adidas sweatshirt pink";LOW;51;1300;1.15;100;2020-04;720;2020-03;880;2020-02;1000;2020-01;1300;2019-12;1900;2019-11;1900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;880;2019-06;590;2019-05;720;2019-04;880;2019-03;1600;2019-02;1600;2019-01;2400
"adidas sweatshirt boys";LOW;51;1300;1.57;100;2020-04;590;2020-03;590;2020-02;1000;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;720;2019-06;480;2019-05;720;2019-04;880;2019-03;1300;2019-02;1000;2019-01;1600
"adidas floral";LOW;58;1300;1.09;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1300;2019-08;1900;2019-07;1900;2019-06;1300;2019-06;1300
"toddler girl adidas";LOW;51;1300;1.08;100;2020-04;1000;2020-03;880;2020-02;1300;2020-01;1300;2019-12;1300;2019-11;1300;2019-10;1600;2019-09;1600;2019-08;2400;2019-07;1600;2019-06;1000;2019-06;1000
"black adidas shoes for girls";LOW;43;1300;0.98;100;2020-04;590;2020-03;880;2020-02;880;2020-01;880;2019-12;1900;2019-11;1600;2019-10;880;2019-09;1000;2019-08;2900;2019-07;2400;2019-06;1300;2019-06;1300
"adidas cropped sweatshirt";LOW;51;1300;1.23;100;2020-04;1900;2020-03;1300;2020-02;1000;2020-01;1300;2019-12;2400;2019-11;1600;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;880;2019-06;480;2019-06;480
"toddler adidas tracksuit";LOW;51;1300;1.06;100;2020-04;880;2020-03;880;2020-02;1300;2020-01;1300;2019-12;2400;2019-11;1900;2019-10;1600;2019-09;1600;2019-08;1300;2019-07;880;2019-06;880;2019-06;880
"white adidas shoes for girls";LOW;43;1300;0.85;100;2020-04;590;2020-03;880;2020-02;1000;2020-01;1300;2019-12;1600;2019-11;1600;2019-10;1000;2019-09;1000;2019-08;2400;2019-07;1600;2019-06;880;2019-06;880
"adidas toddler clothes";LOW;51;1300;1.37;100;2020-04;1600;2020-03;1000;2020-02;880;2020-01;880;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1300;2019-08;1600;2019-07;1000;2019-06;1300;2019-06;1300
"girls adidas leggings";LOW;51;1300;1.26;100;2020-04;720;2020-03;880;2020-02;1300;2020-01;1300;2019-12;2400;2019-11;1900;2019-10;1300;2019-09;1000;2019-08;1600;2019-07;1000;2019-06;720;2019-06;720
"adidas joggers girls";LOW;51;1300;1.12;100;2020-04;590;2020-03;720;2020-02;1000;2020-01;1000;2019-12;2900;2019-11;2900;2019-10;1600;2019-09;1300;2019-08;1600;2019-07;1300;2019-06;720;2019-06;720
"pink adidas sweatshirt";LOW;51;1300;1.15;100;2020-04;720;2020-03;880;2020-02;1000;2020-01;1300;2019-12;1900;2019-11;1900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;880;2019-06;590;2019-06;590
"boys adidas tracksuit";LOW;51;1300;1.2;100;2020-04;720;2020-03;720;2020-02;880;2020-01;1300;2019-12;3600;2019-11;1900;2019-10;1600;2019-09;1000;2019-08;880;2019-07;590;2019-06;720;2019-06;720
