Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas sweatshirt boys";LOW;51;1300;1.57;100;2020-04;590;2020-03;590;2020-02;1000;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;720;2019-06;480;2019-05;720;2019-04;880;2019-03;1300;2019-02;1000;2019-01;1600
"boys adidas sweatshirt";LOW;51;1300;1.57;100;2020-04;590;2020-03;590;2020-02;1000;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;720;2019-06;480;2019-05;720;2019-04;880;2019-03;1300;2019-02;1000;2019-01;1600
"adidas boys sweatshirt";LOW;51;1300;1.57;100;2020-04;590;2020-03;590;2020-02;1000;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;720;2019-06;480;2019-05;720;2019-04;880;2019-03;1300;2019-02;1000;2019-01;1600
"boys zip up hoodie";LOW;46;1300;1.08;100;2020-04;590;2020-03;720;2020-02;720;2020-01;720;2019-12;1600;2019-11;1600;2019-10;2400;2019-09;2400;2019-08;1900;2019-07;1000;2019-06;590;2019-05;880;2019-04;1000;2019-03;1000;2019-02;590
"boys adidas tracksuit";LOW;51;1300;1.2;100;2020-04;720;2020-03;720;2020-02;880;2020-01;1300;2019-12;3600;2019-11;1900;2019-10;1600;2019-09;1000;2019-08;880;2019-07;590;2019-06;720;2019-05;880;2019-04;1300;2019-03;1600;2019-02;1600
"adidas sweatshirt girls";LOW;51;1300;1.41;100;2020-04;480;2020-03;590;2020-02;880;2020-01;1000;2019-12;3600;2019-11;2900;2019-10;1600;2019-09;1000;2019-08;1300;2019-07;1000;2019-06;720;2019-06;720
"nike sweaters for boys";LOW;46;1300;0.6;100;2020-04;480;2020-03;880;2020-02;1000;2020-01;1000;2019-12;3600;2019-11;2400;2019-10;2400;2019-09;1300;2019-08;1300;2019-07;720;2019-06;590;2019-06;590
"youth nike hoodies";LOW;51;1300;0.6;99.9;2020-04;480;2020-03;880;2020-02;1300;2020-01;1000;2019-12;3600;2019-11;3600;2019-10;1900;2019-09;1000;2019-08;1000;2019-07;590;2019-06;260;2019-06;260
"boys pullover hoodies";LOW;51;1300;0.79;100;2020-04;480;2020-03;880;2020-02;880;2020-01;880;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1300;2019-08;1600;2019-07;1000;2019-06;390;2019-06;390
"kids tracksuits";LOW;58;1300;0.86;100;2020-04;880;2020-03;880;2020-02;1000;2020-01;1000;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1300;2019-08;1300;2019-07;880;2019-06;720;2019-06;720
"toddler adidas tracksuit";LOW;51;1300;1.06;100;2020-04;880;2020-03;880;2020-02;1300;2020-01;1300;2019-12;2400;2019-11;1900;2019-10;1600;2019-09;1600;2019-08;1300;2019-07;880;2019-06;880;2019-06;880
"adidas toddler clothes";LOW;51;1300;1.37;100;2020-04;1600;2020-03;1000;2020-02;880;2020-01;880;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1300;2019-08;1600;2019-07;1000;2019-06;1300;2019-06;1300
"adidas joggers girls";LOW;51;1300;1.12;100;2020-04;590;2020-03;720;2020-02;1000;2020-01;1000;2019-12;2900;2019-11;2900;2019-10;1600;2019-09;1300;2019-08;1600;2019-07;1300;2019-06;720;2019-06;720
"boys white adidas sweatshirt";LOW;44;30;0.25;100;2020-04;20;2020-03;10;2020-02;20;2020-01;20;2019-12;90;2019-11;70;2019-10;50;2019-09;10;2019-08;20;2019-07;20;2019-06;10;2019-05;30;2019-04;10;2019-03;20;2019-02;10;2019-01;10
"adidas kid tracksuit";LOW;49;30;2.84;100;2020-04;40;2020-03;20;2020-02;30;2020-01;10;2019-12;50;2019-11;50;2019-10;40;2019-09;40;2019-08;30;2019-07;30;2019-06;20;2019-06;20
"boys adidas zip hoodie";LOW;44;30;0;100;2020-04;10;2020-03;40;2020-02;20;2020-01;20;2019-12;40;2019-11;50;2019-10;30;2019-09;50;2019-08;70;2019-07;20;2019-06;10;2019-06;10
"boys adidas originals hoodie";LOW;11;30;0;0;2020-04;0;2020-03;10;2020-02;30;2020-01;40;2019-12;70;2019-11;50;2019-10;40;2019-09;50;2019-08;10;2019-07;20;2019-06;40;2019-06;40
"infant adidas jumpsuit";LOW;48;30;0.64;96;2020-04;20;2020-03;30;2020-02;30;2020-01;40;2019-12;30;2019-11;50;2019-10;20;2019-09;40;2019-08;50;2019-07;10;2019-06;30;2019-06;30
"nike tech hoodie boys";LOW;44;30;0.36;100;2020-04;30;2020-03;20;2020-02;20;2020-01;40;2019-12;50;2019-11;50;2019-10;70;2019-09;20;2019-08;20;2019-07;10;2019-06;10;2019-06;10
"adidas jacket junior";LOW;49;30;0.36;100;2020-04;10;2020-03;10;2020-02;10;2020-01;10;2019-12;70;2019-11;70;2019-10;50;2019-09;30;2019-08;40;2019-07;20;2019-06;10;2019-06;10
"black adidas hoodie kids";LOW;44;30;1.41;100;2020-04;10;2020-03;20;2020-02;40;2020-01;30;2019-12;70;2019-11;70;2019-10;30;2019-09;30;2019-08;20;2019-07;20;2019-06;30;2019-06;30
"adidas hoodie junior";LOW;38;30;0;66.7;2020-04;10;2020-03;10;2020-02;20;2020-01;20;2019-12;110;2019-11;70;2019-10;40;2019-09;20;2019-08;30;2019-07;20;2019-06;10;2019-06;10
"red adidas hoodie kids";LOW;42;30;0.25;94.4;2020-04;20;2020-03;20;2020-02;20;2020-01;20;2019-12;70;2019-11;40;2019-10;40;2019-09;20;2019-08;20;2019-07;30;2019-06;10;2019-06;10
"adidas youth sweater";LOW;49;30;1.04;100;2020-04;10;2020-03;20;2020-02;30;2020-01;10;2019-12;50;2019-11;70;2019-10;30;2019-09;20;2019-08;20;2019-07;10;2019-06;10;2019-06;10
"kids tracksuits boys";LOW;49;30;0.76;99.1;2020-04;30;2020-03;50;2020-02;50;2020-01;30;2019-12;40;2019-11;50;2019-10;20;2019-09;10;2019-08;20;2019-07;30;2019-06;0;2019-06;0
"kids blue tracksuit";LOW;44;30;0;85.7;2020-04;10;2020-03;10;2020-02;10;2020-01;20;2019-12;20;2019-11;20;2019-10;110;2019-09;70;2019-08;20;2019-07;20;2019-06;10;2019-06;10
"kids adidas tops";LOW;49;30;1.2;100;2020-04;10;2020-03;20;2020-02;10;2020-01;10;2019-12;70;2019-11;30;2019-10;20;2019-09;30;2019-08;50;2019-07;30;2019-06;30;2019-06;30
"nike air hoodie kids";LOW;36;30;0.2;75;2020-04;10;2020-03;10;2020-02;40;2020-01;40;2019-12;90;2019-11;40;2019-10;50;2019-09;10;2019-08;50;2019-07;10;2019-06;0;2019-06;0
"infant girl adidas tracksuit";LOW;44;30;0.86;100;2020-04;20;2020-03;20;2020-02;40;2020-01;40;2019-12;50;2019-11;40;2019-10;50;2019-09;30;2019-08;30;2019-07;40;2019-06;10;2019-06;10
"baby adidas shorts";LOW;49;30;0.86;100;2020-04;40;2020-03;20;2020-02;10;2020-01;10;2019-12;10;2019-11;10;2019-10;20;2019-09;20;2019-08;40;2019-07;40;2019-06;50;2019-06;50
"adidas youth apparel";LOW;49;30;0;100;2020-04;10;2020-03;20;2020-02;20;2020-01;10;2019-12;70;2019-11;90;2019-10;30;2019-09;50;2019-08;30;2019-07;20;2019-06;10;2019-06;10
"childrens nike tracksuit";LOW;48;30;0.52;98.6;2020-04;70;2020-03;10;2020-02;30;2020-01;10;2019-12;90;2019-11;30;2019-10;70;2019-09;30;2019-08;10;2019-07;10;2019-06;10;2019-06;10
"boys adidas originals sweatshirt";LOW;44;10;0;100;2020-03;10;2020-02;10;2020-01;10;2019-12;10;2019-11;20;2019-10;10;2019-09;10;2019-08;10;2019-07;10;2019-06;10;2019-05;10;2019-04;10;2019-03;10;2019-02;10;2019-01;10
"boys adidas trefoil sweatshirt";LOW;11;10;0;0;2020-03;0;2020-02;10;2020-01;0;2019-12;20;2019-11;10;2019-10;10;2019-09;10;2019-08;10;2019-07;10;2019-06;10;2019-05;10;2019-04;10;2019-03;10;2019-02;10;2019-01;10
"adidas dv2870";LOW;56;10;0;100;2020-04;20;2020-03;10;2020-02;10;2020-01;10;2019-12;10;2019-11;0;2019-10;10;2019-09;10;2019-08;0;2019-07;0;2019-06;10;2019-05;10;2019-04;10;2019-03;0;2019-02;10
"adidas originals boys camo trefoil hoodie";LOW;5;10;0;0;2020-04;0;2020-03;10;2020-02;0;2020-01;10;2019-12;30;2019-11;10;2019-10;10;2019-09;10;2019-08;20;2019-07;10;2019-06;20;2019-05;10;2019-04;10;2019-03;10;2019-02;10;2019-01;30
"black and white adidas tracksuit kids";LOW;39;10;0;100;2020-04;10;2020-03;10;2020-02;10;2020-01;10;2019-12;10;2019-11;10;2019-10;10;2019-09;10;2019-08;10;2019-07;0;2019-06;10;2019-06;10
"adidas top junior";LOW;49;10;0;100;2020-04;10;2020-03;10;2020-02;10;2020-01;10;2019-12;10;2019-11;10;2019-10;10;2019-09;10;2019-08;10;2019-07;10;2019-06;10;2019-06;10
"toddler black adidas tracksuit";LOW;44;10;0.2;100;2020-04;10;2020-03;10;2020-02;10;2020-01;20;2019-12;50;2019-11;10;2019-10;10;2019-09;10;2019-08;10;2019-07;10;2019-06;10;2019-06;10
