Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas crewneck sweatshirt";LOW;51;1300;0.89;100;2020-04;880;2020-03;880;2020-02;880;2020-01;1000;2019-12;2400;2019-11;2400;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;1000;2019-06;720;2019-05;880;2019-04;1000;2019-03;2400;2019-02;2900;2019-01;3600
"adidas sweatshirt crewneck";LOW;51;1300;0.89;100;2020-04;880;2020-03;880;2020-02;880;2020-01;1000;2019-12;2400;2019-11;2400;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;1000;2019-06;720;2019-05;880;2019-04;1000;2019-03;2400;2019-02;2900;2019-01;3600
"adidas sweatshirt pink";LOW;51;1300;1.15;100;2020-04;720;2020-03;880;2020-02;1000;2020-01;1300;2019-12;1900;2019-11;1900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;880;2019-06;590;2019-05;720;2019-04;880;2019-03;1600;2019-02;1600;2019-01;2400
"adidas cropped sweatshirt";LOW;51;1300;1.23;100;2020-04;1900;2020-03;1300;2020-02;1000;2020-01;1300;2019-12;2400;2019-11;1600;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;880;2019-06;480;2019-06;480
"pink adidas jacket";LOW;51;1300;1.09;100;2020-04;880;2020-03;1000;2020-02;1000;2020-01;1000;2019-12;1600;2019-11;1600;2019-10;1600;2019-09;1300;2019-08;1600;2019-07;1300;2019-06;1000;2019-06;1000
"pink adidas sweatshirt";LOW;51;1300;1.15;100;2020-04;720;2020-03;880;2020-02;1000;2020-01;1300;2019-12;1900;2019-11;1900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;880;2019-06;590;2019-06;590
"purple adidas hoodie";LOW;51;1300;0.7;100;2020-04;1000;2020-03;1300;2020-02;1900;2020-01;1900;2019-12;2900;2019-11;1900;2019-10;1300;2019-09;880;2019-08;880;2019-07;720;2019-06;480;2019-06;480
"adidas floral";LOW;58;1300;1.09;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1300;2019-08;1900;2019-07;1900;2019-06;1300;2019-06;1300
"black adidas sweatshirt";LOW;51;1300;1.16;100;2020-04;880;2020-03;880;2020-02;1000;2020-01;1300;2019-12;2400;2019-11;2400;2019-10;1900;2019-09;1300;2019-08;1300;2019-07;880;2019-06;590;2019-06;590
"adidas floral jacket";LOW;51;1300;0.57;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;1300;2019-11;1300;2019-10;1300;2019-09;1300;2019-08;1300;2019-07;1300;2019-06;1000;2019-06;1000
"adidas crewneck sweatshirt mens";LOW;45;480;0.91;100;2020-04;320;2020-03;260;2020-02;390;2020-01;480;2019-12;880;2019-11;880;2019-10;720;2019-09;590;2019-08;480;2019-07;320;2019-06;210;2019-05;320;2019-04;390;2019-03;590;2019-02;880;2019-01;590
"adidas men's crewneck sweatshirt";LOW;45;480;0.91;100;2020-04;320;2020-03;260;2020-02;390;2020-01;480;2019-12;880;2019-11;880;2019-10;720;2019-09;590;2019-08;480;2019-07;320;2019-06;210;2019-05;320;2019-04;390;2019-03;590;2019-02;880;2019-01;590
"adidas sweatpants soccer";LOW;50;480;0.58;100;2020-04;390;2020-03;390;2020-02;390;2020-01;590;2019-12;1000;2019-11;880;2019-10;590;2019-09;390;2019-08;390;2019-07;320;2019-06;320;2019-05;390;2019-04;480;2019-03;590;2019-02;480
"men's adidas crew neck sweatshirt";LOW;41;480;0.91;100;2020-04;320;2020-03;260;2020-02;390;2020-01;480;2019-12;880;2019-11;880;2019-10;720;2019-09;590;2019-08;480;2019-07;320;2019-06;210;2019-05;320;2019-04;390;2019-03;590;2019-02;880
"maroon adidas jacket";LOW;50;480;0.61;100;2020-04;260;2020-03;260;2020-02;320;2020-01;590;2019-12;720;2019-11;590;2019-10;590;2019-09;480;2019-08;590;2019-07;390;2019-06;320;2019-06;320
"adidas 3 stripe hoodie";LOW;45;480;1.16;100;2020-04;260;2020-03;260;2020-02;480;2020-01;590;2019-12;880;2019-11;720;2019-10;480;2019-09;480;2019-08;390;2019-07;320;2019-06;210;2019-06;210
"burgundy adidas jacket";LOW;50;480;0.49;99.9;2020-04;260;2020-03;170;2020-02;260;2020-01;480;2019-12;720;2019-11;720;2019-10;590;2019-09;390;2019-08;480;2019-07;320;2019-06;320;2019-06;320
"adidas pastel";LOW;57;480;0.82;100;2020-04;1300;2020-03;390;2020-02;480;2020-01;480;2019-12;390;2019-11;390;2019-10;320;2019-09;480;2019-08;590;2019-07;480;2019-06;390;2019-06;390
"nike mens sweatshirt";LOW;50;480;0.61;100;2020-04;260;2020-03;210;2020-02;320;2020-01;480;2019-12;1600;2019-11;1000;2019-10;390;2019-09;320;2019-08;210;2019-07;110;2019-06;90;2019-06;90
"adidas long jacket";LOW;50;480;0.91;100;2020-04;260;2020-03;260;2020-02;480;2020-01;480;2019-12;1000;2019-11;1000;2019-10;720;2019-09;320;2019-08;260;2019-07;170;2019-06;140;2019-06;140
"adidas striped shirt";LOW;50;480;0.65;100;2020-04;390;2020-03;390;2020-02;320;2020-01;320;2019-12;390;2019-11;390;2019-10;480;2019-09;590;2019-08;720;2019-07;880;2019-06;590;2019-06;590
"womens adidas crop top";LOW;45;480;1.27;99.7;2020-04;590;2020-03;480;2020-02;390;2020-01;390;2019-12;590;2019-11;480;2019-10;260;2019-09;390;2019-08;480;2019-07;590;2019-06;590;2019-06;590
"adidas tee dress";LOW;50;480;0.99;100;2020-04;390;2020-03;320;2020-02;260;2020-01;210;2019-12;260;2019-11;210;2019-10;140;2019-09;480;2019-08;720;2019-07;1000;2019-06;880;2019-06;880
"adidas crop";LOW;57;480;1.01;100;2020-04;590;2020-03;390;2020-02;480;2020-01;480;2019-12;590;2019-11;480;2019-10;390;2019-09;390;2019-08;480;2019-07;480;2019-06;390;2019-06;390
"red adidas hoodie womens";LOW;45;480;0.89;100;2020-04;480;2020-03;320;2020-02;480;2020-01;720;2019-12;1000;2019-11;720;2019-10;480;2019-09;390;2019-08;390;2019-07;320;2019-06;110;2019-06;110
"matching adidas outfits";LOW;50;480;1.04;100;2020-04;590;2020-03;320;2020-02;590;2020-01;390;2019-12;720;2019-11;720;2019-10;480;2019-09;260;2019-08;390;2019-07;590;2019-06;320;2019-06;320
"yellow adidas sweatshirt";LOW;50;480;1.73;100;2020-04;320;2020-03;260;2020-02;260;2020-01;320;2019-12;720;2019-11;720;2019-10;590;2019-09;590;2019-08;480;2019-07;390;2019-06;210;2019-06;210
"green adidas sweatshirt";LOW;50;480;0.86;100;2020-04;390;2020-03;590;2020-02;590;2020-01;480;2019-12;880;2019-11;720;2019-10;720;2019-09;480;2019-08;480;2019-07;320;2019-06;210;2019-06;210
"adidas jumper";LOW;57;480;0.75;100;2020-04;320;2020-03;260;2020-02;260;2020-01;390;2019-12;390;2019-11;480;2019-10;590;2019-09;590;2019-08;590;2019-07;590;2019-06;480;2019-06;480
"nike turtleneck hoodie";LOW;50;480;0.5;100;2020-04;390;2020-03;390;2020-02;480;2020-01;590;2019-12;1000;2019-11;1000;2019-10;590;2019-09;480;2019-08;390;2019-07;320;2019-06;170;2019-06;170
"adidas floral hoodie";LOW;50;480;0.56;100;2020-04;390;2020-03;480;2020-02;480;2020-01;720;2019-12;1000;2019-11;720;2019-10;590;2019-09;390;2019-08;480;2019-07;390;2019-06;210;2019-06;210
"black and gold adidas shirt";LOW;41;480;0.64;99.2;2020-04;390;2020-03;480;2020-02;320;2020-01;480;2019-12;590;2019-11;390;2019-10;480;2019-09;480;2019-08;590;2019-07;590;2019-06;390;2019-06;390
