Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas sweatshirt women's";LOW;58;6600;1.44;100;2020-04;4400;2020-03;3600;2020-02;5400;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;5400;2019-08;5400;2019-07;2900;2019-06;2400;2019-05;3600;2019-04;4400;2019-03;8100;2019-02;6600;2019-01;9900
"adidas women's sweatshirt";LOW;58;6600;1.44;100;2020-04;4400;2020-03;3600;2020-02;5400;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;5400;2019-08;5400;2019-07;2900;2019-06;2400;2019-05;3600;2019-04;4400;2019-03;8100;2019-02;6600;2019-01;9900
"women's adidas sweatshirt";LOW;58;6600;1.54;100;2020-03;3600;2020-02;5400;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;5400;2019-08;5400;2019-07;2900;2019-06;2400;2019-05;3600;2019-04;4400;2019-03;8100;2019-02;6600;2019-01;9900
"adidas outfit women";LOW;58;6600;1.15;100;2020-04;5400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;9900;2019-11;8100;2019-10;8100;2019-09;6600;2019-08;6600;2019-07;5400;2019-06;5400;2019-06;5400
"adidas shirts women";LOW;58;6600;1.28;100;2020-04;6600;2020-03;5400;2020-02;5400;2020-01;5400;2019-12;6600;2019-11;5400;2019-10;6600;2019-09;8100;2019-08;9900;2019-07;9900;2019-06;8100;2019-06;8100
"adidas leggings women";LOW;58;6600;1.64;100;2020-04;6600;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;9900;2019-11;8100;2019-10;8100;2019-09;6600;2019-08;6600;2019-07;5400;2019-06;6600;2019-06;6600
"adidas crop top";LOW;58;6600;0.97;100;2020-04;9900;2020-03;6600;2020-02;5400;2020-01;5400;2019-12;6600;2019-11;5400;2019-10;4400;2019-09;6600;2019-08;8100;2019-07;9900;2019-06;8100;2019-06;8100
"adidas crew neck sweatshirt women's";LOW;41;390;1.09;100;2020-04;320;2020-03;210;2020-02;320;2020-01;390;2019-12;880;2019-11;480;2019-10;390;2019-09;320;2019-08;390;2019-07;210;2019-06;140;2019-05;260;2019-04;260;2019-03;590;2019-02;590
"adidas zip up hoodie women's";LOW;41;390;0.89;100;2020-04;260;2020-03;210;2020-02;390;2020-01;390;2019-12;590;2019-11;480;2019-10;480;2019-09;480;2019-08;320;2019-07;170;2019-06;210;2019-05;260;2019-04;320;2019-03;0
"white adidas jacket womens";LOW;45;390;0.86;100;2020-04;210;2020-03;320;2020-02;320;2020-01;390;2019-12;590;2019-11;480;2019-10;590;2019-09;390;2019-08;390;2019-07;480;2019-06;390;2019-06;390
"red and white adidas jacket";LOW;41;390;0.94;100;2020-04;260;2020-03;320;2020-02;320;2020-01;320;2019-12;590;2019-11;480;2019-10;590;2019-09;390;2019-08;320;2019-07;320;2019-06;210;2019-06;210
"burgundy adidas shirt";LOW;50;390;0.85;100;2020-04;260;2020-03;260;2020-02;320;2020-01;390;2019-12;260;2019-11;260;2019-10;390;2019-09;390;2019-08;480;2019-07;590;2019-06;590;2019-06;590
"adidas womans";LOW;57;390;0.95;100;2020-04;320;2020-03;260;2020-02;320;2020-01;320;2019-12;590;2019-11;390;2019-10;320;2019-09;390;2019-08;390;2019-07;320;2019-06;320;2019-06;320
"adidas superstar floral";LOW;50;390;0.9;100;2020-04;320;2020-03;320;2020-02;320;2020-01;320;2019-12;390;2019-11;320;2019-10;390;2019-09;390;2019-08;720;2019-07;480;2019-06;390;2019-06;390
"black and gold adidas hoodie";LOW;41;390;0.72;100;2020-04;320;2020-03;260;2020-02;390;2020-01;590;2019-12;880;2019-11;480;2019-10;390;2019-09;260;2019-08;320;2019-07;110;2019-06;70;2019-06;70
"maroon adidas shirt";LOW;50;390;1.15;100;2020-04;320;2020-03;210;2020-02;320;2020-01;320;2019-12;320;2019-11;260;2019-10;210;2019-09;390;2019-08;480;2019-07;590;2019-06;390;2019-06;390
"all pink adidas";LOW;50;390;0.6;100;2020-04;320;2020-03;320;2020-02;390;2020-01;320;2019-12;480;2019-11;390;2019-10;320;2019-09;260;2019-08;590;2019-07;480;2019-06;320;2019-06;320
"adidas two piece set";LOW;45;390;1.18;100;2020-04;390;2020-03;480;2020-02;590;2020-01;480;2019-12;320;2019-11;260;2019-10;260;2019-09;320;2019-08;390;2019-07;260;2019-06;480;2019-06;480
"adidas flower jacket";LOW;50;390;0.58;100;2020-04;320;2020-03;320;2020-02;320;2020-01;390;2019-12;390;2019-11;390;2019-10;480;2019-09;480;2019-08;590;2019-07;390;2019-06;320;2019-06;320
"adidas pullover windbreaker";LOW;50;390;1.05;100;2020-04;320;2020-03;390;2020-02;260;2020-01;260;2019-12;590;2019-11;720;2019-10;590;2019-09;320;2019-08;320;2019-07;260;2019-06;210;2019-06;210
"adidas tee womens";LOW;50;390;1.42;100;2020-04;390;2020-03;320;2020-02;320;2020-01;260;2019-12;260;2019-11;260;2019-10;260;2019-09;480;2019-08;590;2019-07;590;2019-06;480;2019-06;480
"adidas two piece";LOW;50;390;1.03;100;2020-04;590;2020-03;260;2020-02;170;2020-01;260;2019-12;390;2019-11;480;2019-10;480;2019-09;390;2019-08;390;2019-07;590;2019-06;480;2019-06;480
"grey adidas hoodie womens";LOW;45;390;1;100;2020-04;320;2020-03;320;2020-02;390;2020-01;480;2019-12;720;2019-11;590;2019-10;480;2019-09;320;2019-08;260;2019-07;210;2019-06;170;2019-06;170
"adidas pastel shoes";LOW;50;390;1.01;100;2020-04;480;2020-03;390;2020-02;480;2020-01;390;2019-12;390;2019-11;320;2019-10;260;2019-09;320;2019-08;590;2019-07;390;2019-06;320;2019-06;320
"ladies adidas tracksuit";LOW;50;390;1.15;100;2020-04;390;2020-03;140;2020-02;390;2020-01;480;2019-12;720;2019-11;480;2019-10;720;2019-09;390;2019-08;390;2019-07;260;2019-06;320;2019-06;320
"adidas wear";LOW;57;390;1.65;100;2020-04;320;2020-03;260;2020-02;390;2020-01;390;2019-12;590;2019-11;590;2019-10;480;2019-09;390;2019-08;390;2019-07;320;2019-06;320;2019-06;320
