Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"girlsadidas sweatshirt";LOW;23;0;0;0
"white adidas shoes";LOW;70;60500;1.11;100;2020-04;40500;2020-03;49500;2020-02;60500;2020-01;60500;2019-12;90500;2019-11;74000;2019-10;49500;2019-09;49500;2019-08;90500;2019-07;74000;2019-06;49500;2019-06;49500
"adidas store";LOW;77;60500;0.29;100;2020-04;18100;2020-03;33100;2020-02;49500;2020-01;60500;2019-12;90500;2019-11;60500;2019-10;49500;2019-09;49500;2019-08;74000;2019-07;74000;2019-06;74000;2019-06;74000
"adidas jacket";LOW;77;40500;1.04;100;2020-04;18100;2020-03;27100;2020-02;33100;2020-01;33100;2019-12;60500;2019-11;60500;2019-10;49500;2019-09;40500;2019-08;40500;2019-07;33100;2019-06;27100;2019-06;27100
"adidas women";LOW;77;40500;1.07;100;2020-04;33100;2020-03;27100;2020-02;33100;2020-01;40500;2019-12;60500;2019-11;40500;2019-10;33100;2019-09;33100;2019-08;40500;2019-07;40500;2019-06;33100;2019-06;33100
"adidas sweatshirt";LOW;77;27100;1.39;100;2020-04;14800;2020-03;14800;2020-02;22200;2020-01;22200;2019-12;60500;2019-11;49500;2019-10;33100;2019-09;27100;2019-08;22200;2019-07;14800;2019-06;12100;2019-06;12100
"adidas leggings";LOW;77;27100;1.73;100;2020-04;27100;2020-03;22200;2020-02;22200;2020-01;27100;2019-12;33100;2019-11;33100;2019-10;22200;2019-09;22200;2019-08;27100;2019-07;22200;2019-06;18100;2019-06;18100
"adidas shoes for girls";LOW;65;27100;1.54;100;2020-04;14800;2020-03;18100;2020-02;22200;2020-01;22200;2019-12;33100;2019-11;27100;2019-10;18100;2019-09;22200;2019-08;49500;2019-07;49500;2019-06;22200;2019-06;22200
"adidas dress";LOW;77;22200;0.84;100;2020-04;18100;2020-03;18100;2020-02;18100;2020-01;14800;2019-12;12100;2019-11;12100;2019-10;14800;2019-09;22200;2019-08;27100;2019-07;27100;2019-06;33100;2019-06;33100
"adidas sale";LOW;77;22200;0.68;100;2020-04;33100;2020-03;22200;2020-02;22200;2020-01;22200;2019-12;27100;2019-11;27100;2019-10;18100;2019-09;22200;2019-08;22200;2019-07;22200;2019-06;18100;2019-06;18100
"adidas kids";LOW;76;18100;0.79;100;2020-04;14800;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;22200;2019-11;18100;2019-10;14800;2019-09;18100;2019-08;27100;2019-07;22200;2019-06;14800;2019-06;14800
"adidas sweatsuit";LOW;74;14800;0.9;100;2020-04;14800;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;33100;2019-11;27100;2019-10;22200;2019-09;14800;2019-08;12100;2019-07;8100;2019-06;8100;2019-06;8100
"adidas tracksuit women";LOW;66;14800;1.31;100;2020-04;14800;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;27100;2019-11;22200;2019-10;18100;2019-09;12100;2019-08;9900;2019-07;8100;2019-06;8100;2019-06;8100
"adidas outfit";LOW;74;14800;1.17;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;14800;2019-12;22200;2019-11;22200;2019-10;18100;2019-09;14800;2019-08;18100;2019-07;18100;2019-06;14800;2019-06;14800
"adidas clothing";LOW;74;14800;0.82;100;2020-04;12100;2020-03;9900;2020-02;9900;2020-01;9900;2019-12;18100;2019-11;18100;2019-10;14800;2019-09;12100;2019-08;14800;2019-07;14800;2019-06;12100;2019-06;12100
"adidas sweater";LOW;74;14800;1.12;100;2020-04;6600;2020-03;8100;2020-02;12100;2020-01;12100;2019-12;27100;2019-11;22200;2019-10;18100;2019-09;14800;2019-08;12100;2019-07;8100;2019-06;8100;2019-06;8100
"adidas jumpsuit";LOW;71;12100;0.98;100;2020-04;8100;2020-03;8100;2020-02;9900;2020-01;12100;2019-12;18100;2019-11;14800;2019-10;14800;2019-09;12100;2019-08;9900;2019-07;9900;2019-06;8100;2019-06;8100
"adidas hoodie women";LOW;64;12100;1.54;100;2020-04;8100;2020-03;6600;2020-02;9900;2020-01;12100;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;9900;2019-08;9900;2019-07;6600;2019-06;5400;2019-06;5400
"all white adidas";LOW;64;12100;1.16;100;2020-04;8100;2020-03;8100;2020-02;9900;2020-01;9900;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;12100;2019-08;18100;2019-07;18100;2019-06;12100;2019-06;12100
"adidas women clothing";LOW;62;9900;1.34;100;2020-04;9900;2020-03;8100;2020-02;8100;2020-01;9900;2019-12;12100;2019-11;12100;2019-10;9900;2019-09;9900;2019-08;12100;2019-07;9900;2019-06;12100;2019-06;12100
"adidas classic";LOW;69;9900;0.86;100;2020-04;6600;2020-03;6600;2020-02;9900;2020-01;8100;2019-12;12100;2019-11;9900;2019-10;9900;2019-09;9900;2019-08;14800;2019-07;12100;2019-06;9900;2019-06;9900
"adidas jacket women";LOW;62;9900;1.24;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;14800;2019-10;12100;2019-09;9900;2019-08;9900;2019-07;8100;2019-06;6600;2019-06;6600
"adidas for girls";LOW;62;9900;1.32;100;2020-04;5400;2020-03;6600;2020-02;6600;2020-01;8100;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;8100;2019-08;18100;2019-07;18100;2019-06;8100;2019-06;8100
"red adidas";LOW;69;9900;1.12;100;2020-04;6600;2020-03;8100;2020-02;9900;2020-01;9900;2019-12;14800;2019-11;9900;2019-10;9900;2019-09;9900;2019-08;14800;2019-07;12100;2019-06;8100;2019-06;8100
"all black adidas";LOW;60;8100;1.04;100;2020-04;5400;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;9900;2019-11;8100;2019-10;8100;2019-09;8100;2019-08;12100;2019-07;9900;2019-06;6600;2019-06;6600
"adidas leggings women";LOW;58;6600;1.64;100;2020-04;6600;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;9900;2019-11;8100;2019-10;8100;2019-09;6600;2019-08;6600;2019-07;5400;2019-06;6600;2019-06;6600
"adidas crop top";LOW;58;6600;0.97;100;2020-04;9900;2020-03;6600;2020-02;5400;2020-01;5400;2019-12;6600;2019-11;5400;2019-10;4400;2019-09;6600;2019-08;8100;2019-07;9900;2019-06;8100;2019-06;8100
"adidas boys";LOW;66;6600;1.48;100;2020-04;4400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;9900;2019-11;8100;2019-10;5400;2019-09;5400;2019-08;12100;2019-07;9900;2019-06;5400;2019-06;5400
"adidas baby shoes";LOW;58;6600;0.88;100;2020-04;8100;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;8100;2019-11;8100;2019-10;8100;2019-09;8100;2019-08;8100;2019-07;6600;2019-06;5400;2019-06;5400
"adidas sweatshirt womens";LOW;58;6600;1.44;100;2020-04;4400;2020-03;3600;2020-02;5400;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;5400;2019-08;5400;2019-07;2900;2019-06;2400;2019-06;2400
"toddler adidas";LOW;66;6600;1.11;100;2020-04;6600;2020-03;5400;2020-02;5400;2020-01;5400;2019-12;6600;2019-11;6600;2019-10;8100;2019-09;8100;2019-08;9900;2019-07;6600;2019-06;6600;2019-06;6600
"adidas leopard shoes";LOW;58;6600;0.48;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;14800;2019-12;9900;2019-11;5400;2019-10;2900;2019-09;4400;2019-08;5400;2019-07;2400;2019-06;2900;2019-06;2900
"adidas shirts men";LOW;58;6600;1.51;100;2020-04;5400;2020-03;5400;2020-02;5400;2020-01;4400;2019-12;9900;2019-11;6600;2019-10;5400;2019-09;6600;2019-08;9900;2019-07;9900;2019-06;8100;2019-06;8100
"adidas baby";LOW;64;5400;0.78;100;2020-04;6600;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;5400;2019-11;5400;2019-10;5400;2019-09;5400;2019-08;5400;2019-07;4400;2019-06;4400;2019-06;4400
"leopard adidas";LOW;64;5400;0.53;100;2020-04;5400;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;8100;2019-11;6600;2019-10;4400;2019-09;4400;2019-08;4400;2019-07;2900;2019-06;2400;2019-06;2400
"adidas cropped hoodie";LOW;57;5400;1.05;100;2020-04;5400;2020-03;4400;2020-02;4400;2020-01;5400;2019-12;9900;2019-11;6600;2019-10;5400;2019-09;4400;2019-08;4400;2019-07;4400;2019-06;2900;2019-06;2900
"blue adidas";LOW;64;5400;1.28;100;2020-04;4400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;6600;2019-11;6600;2019-10;5400;2019-09;5400;2019-08;8100;2019-07;8100;2019-06;5400;2019-06;5400
"adidas sweatshirt mens";LOW;55;4400;1.45;100;2020-04;2400;2020-03;2400;2020-02;3600;2020-01;4400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-06;1600
"adidas sneakers for girls";LOW;51;4400;1.88;100;2020-04;2400;2020-03;2900;2020-02;3600;2020-01;2900;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;4400;2019-08;9900;2019-07;5400;2019-06;4400;2019-06;4400
"girls adidas pants";LOW;54;3600;1.33;100;2020-04;1900;2020-03;2400;2020-02;2900;2020-01;3600;2019-12;6600;2019-11;6600;2019-10;4400;2019-09;2900;2019-08;3600;2019-07;2900;2019-06;2400;2019-06;2400
