Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike sweatshirt for mens";LOW;59;12100;0.7;100;2020-04;8100;2020-03;6600;2020-02;12100;2020-01;12100;2019-12;40500;2019-11;33100;2019-10;14800;2019-09;8100;2019-08;6600;2019-07;4400;2019-06;2900;2019-05;3600;2019-04;4400;2019-03;6600;2019-02;8100;2019-01;8100
"mens nike sweatshirt";LOW;64;12100;0.7;100;2020-04;8100;2020-03;6600;2020-02;12100;2020-01;12100;2019-12;40500;2019-11;33100;2019-10;14800;2019-09;8100;2019-08;6600;2019-07;4400;2019-06;2900;2019-05;3600;2019-04;4400;2019-03;6600;2019-02;8100;2019-01;8100
"nike sweatshirt mens";LOW;64;12100;0.7;100;2020-04;8100;2020-03;6600;2020-02;12100;2020-01;12100;2019-12;40500;2019-11;33100;2019-10;14800;2019-09;8100;2019-08;6600;2019-07;4400;2019-06;2900;2019-05;3600;2019-04;4400;2019-03;6600;2019-02;8100;2019-01;8100
"nike zip up hoodie";LOW;59;12100;0.5;100;2020-04;9900;2020-03;9900;2020-02;12100;2020-01;12100;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;12100;2019-08;9900;2019-07;6600;2019-06;5400;2019-05;5400;2019-04;6600;2019-03;9900;2019-02;9900
"nike crew neck";LOW;64;12100;0.48;100;2020-04;12100;2020-03;9900;2020-02;12100;2020-01;12100;2019-12;22200;2019-11;18100;2019-10;12100;2019-09;9900;2019-08;8100;2019-07;6600;2019-06;4400;2019-06;4400
"mens nike crewneck sweatshirt";LOW;46;1300;0.59;100;2020-04;880;2020-03;1000;2020-02;1300;2020-01;1600;2019-12;3600;2019-11;2400;2019-10;1600;2019-09;880;2019-08;720;2019-07;390;2019-06;480;2019-05;320;2019-04;480;2019-03;880;2019-02;1300
"nike crewneck sweatshirt mens";LOW;46;1300;0.59;100;2020-04;880;2020-03;1000;2020-02;1300;2020-01;1600;2019-12;3600;2019-11;2400;2019-10;1600;2019-09;880;2019-08;720;2019-07;390;2019-06;480;2019-05;320;2019-04;480;2019-03;880;2019-02;1300;2019-01;1600
"mens crew neck sweatshirt nike";LOW;43;1300;0.59;100;2020-04;880;2020-03;1000;2020-02;1300;2020-01;1600;2019-12;3600;2019-11;2400;2019-10;1600;2019-09;880;2019-08;720;2019-07;390;2019-06;480;2019-05;320;2019-04;480;2019-03;880;2019-02;1300;2019-01;1600
"cheap nike hoodies mens";LOW;46;1300;0.45;99.9;2020-04;720;2020-03;880;2020-02;1000;2020-01;1000;2019-12;4400;2019-11;2400;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;590;2019-06;320;2019-06;320
"green nike sweatshirt";LOW;51;1300;0.51;100;2020-04;1600;2020-03;1600;2020-02;1600;2020-01;1300;2019-12;2900;2019-11;2400;2019-10;1300;2019-09;1000;2019-08;880;2019-07;590;2019-06;390;2019-06;390
"black and gold nike hoodie";LOW;43;1300;0.34;100;2020-04;1300;2020-03;1000;2020-02;1600;2020-01;1900;2019-12;3600;2019-11;1900;2019-10;1300;2019-09;720;2019-08;720;2019-07;480;2019-06;390;2019-06;390
"black nike pullover hoodie";LOW;46;1300;0.51;100;2020-04;880;2020-03;1000;2020-02;1300;2020-01;1300;2019-12;2400;2019-11;1600;2019-10;1300;2019-09;1000;2019-08;1300;2019-07;720;2019-06;480;2019-06;480
"nike men's therma hoodie";LOW;46;1300;0.57;99.9;2020-04;720;2020-03;720;2020-02;1300;2020-01;1600;2019-12;4400;2019-11;2900;2019-10;1900;2019-09;880;2019-08;590;2019-07;320;2019-06;320;2019-06;320
"red nike zip up hoodie";LOW;43;1300;0.37;100;2020-04;1300;2020-03;1000;2020-02;1300;2020-01;1600;2019-12;2900;2019-11;1600;2019-10;1000;2019-09;880;2019-08;1000;2019-07;720;2019-06;480;2019-06;480
