Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike sweatshirt for mens";LOW;59;12100;0.7;100;2020-04;8100;2020-03;6600;2020-02;12100;2020-01;12100;2019-12;40500;2019-11;33100;2019-10;14800;2019-09;8100;2019-08;6600;2019-07;4400;2019-06;2900;2019-05;3600;2019-04;4400;2019-03;6600;2019-02;8100;2019-01;8100
"nike zip up hoodie";LOW;59;12100;0.5;100;2020-04;9900;2020-03;9900;2020-02;12100;2020-01;12100;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;12100;2019-08;9900;2019-07;6600;2019-06;5400;2019-05;5400;2019-04;6600;2019-03;9900;2019-02;9900
"cool hoodies for men";LOW;59;12100;0.95;100;2020-04;9900;2020-03;9900;2020-02;9900;2020-01;9900;2019-12;22200;2019-11;18100;2019-10;14800;2019-09;12100;2019-08;9900;2019-07;6600;2019-06;4400;2019-06;4400
"nike crew neck";LOW;64;12100;0.48;100;2020-04;12100;2020-03;9900;2020-02;12100;2020-01;12100;2019-12;22200;2019-11;18100;2019-10;12100;2019-09;9900;2019-08;8100;2019-07;6600;2019-06;4400;2019-06;4400
"nike hoodie";LOW;77;201000;0.47;100;2020-04;135000;2020-03;135000;2020-02;201000;2020-01;201000;2019-12;450000;2019-11;450000;2019-10;246000;2019-09;165000;2019-08;135000;2019-07;90500;2019-06;49500;2019-05;60500;2019-04;74000;2019-03;110000;2019-02;135000
"nike sweatshirt";LOW;77;74000;0.5;100;2020-04;49500;2020-03;49500;2020-02;60500;2020-01;60500;2019-12;201000;2019-11;165000;2019-10;74000;2019-09;49500;2019-08;40500;2019-07;27100;2019-06;18100;2019-05;22200;2019-04;27100;2019-03;40500;2019-02;49500
"black hoodie";LOW;77;74000;0.69;100;2020-04;74000;2020-03;74000;2020-02;74000;2020-01;74000;2019-12;110000;2019-11;110000;2019-10;110000;2019-09;74000;2019-08;74000;2019-07;49500;2019-06;33100;2019-06;33100
"nike hoodie men";LOW;70;60500;0.66;100;2020-04;33100;2020-03;40500;2020-02;60500;2020-01;60500;2019-12;201000;2019-11;135000;2019-10;74000;2019-09;49500;2019-08;40500;2019-07;22200;2019-06;14800;2019-05;18100;2019-04;18100;2019-03;27100;2019-02;33100;2019-01;33100
"nike hoodies women's";LOW;70;40500;0.57;100;2020-04;27100;2020-03;27100;2020-02;33100;2020-01;40500;2019-12;110000;2019-11;90500;2019-10;40500;2019-09;27100;2019-08;22200;2019-07;14800;2019-06;9900;2019-05;12100;2019-04;14800;2019-03;27100;2019-02;27100;2019-01;33100
"nike sweater";LOW;77;40500;0.42;100;2020-04;27100;2020-03;27100;2020-02;40500;2020-01;40500;2019-12;110000;2019-11;74000;2019-10;49500;2019-09;40500;2019-08;33100;2019-07;22200;2019-06;14800;2019-06;14800
"mens sweatshirts";LOW;77;40500;1.45;100;2020-04;33100;2020-03;27100;2020-02;33100;2020-01;40500;2019-12;110000;2019-11;90500;2019-10;74000;2019-09;40500;2019-08;33100;2019-07;18100;2019-06;14800;2019-06;14800
"green nike hoodie";LOW;70;27100;0.42;100;2020-04;22200;2020-03;27100;2020-02;33100;2020-01;33100;2019-12;60500;2019-11;49500;2019-10;27100;2019-09;18100;2019-08;14800;2019-07;12100;2019-06;6600;2019-05;8100;2019-04;8100;2019-03;14800;2019-02;14800;2019-01;14800
"nike black hoodie";LOW;70;27100;0.5;100;2020-04;22200;2020-03;27100;2020-02;33100;2020-01;33100;2019-12;74000;2019-11;49500;2019-10;33100;2019-09;22200;2019-08;18100;2019-07;14800;2019-06;8100;2019-05;9900;2019-04;12100;2019-03;14800;2019-02;14800;2019-01;18100
"black nike hoodie";LOW;70;27100;0.5;100;2020-04;22200;2020-03;27100;2020-02;33100;2020-01;33100;2019-12;74000;2019-11;49500;2019-10;33100;2019-09;22200;2019-08;18100;2019-07;14800;2019-06;8100;2019-05;9900;2019-04;12100;2019-03;14800;2019-02;14800
"red hoodie";LOW;77;27100;0.62;100;2020-04;22200;2020-03;22200;2020-02;27100;2020-01;27100;2019-12;40500;2019-11;33100;2019-10;40500;2019-09;22200;2019-08;22200;2019-07;18100;2019-06;12100;2019-06;12100
"red nike hoodie";LOW;70;22200;0.41;100;2020-04;18100;2020-03;22200;2020-02;33100;2020-01;33100;2019-12;74000;2019-11;40500;2019-10;22200;2019-09;12100;2019-08;12100;2019-07;9900;2019-06;6600;2019-05;6600;2019-04;8100;2019-03;14800;2019-02;18100;2019-01;18100
"zip up hoodies";LOW;70;22200;0.93;100;2020-04;27100;2020-03;22200;2020-02;22200;2020-01;22200;2019-12;33100;2019-11;33100;2019-10;33100;2019-09;22200;2019-08;22200;2019-07;12100;2019-06;9900;2019-06;9900
"white nike hoodie";LOW;69;18100;0.41;100;2020-04;12100;2020-03;14800;2020-02;22200;2020-01;22200;2019-12;49500;2019-11;33100;2019-10;18100;2019-09;12100;2019-08;12100;2019-07;8100;2019-06;5400;2019-05;5400;2019-04;6600;2019-03;9900;2019-02;9900
"black hoodie mens";LOW;69;18100;1.02;100;2020-04;14800;2020-03;18100;2020-02;22200;2020-01;22200;2019-12;33100;2019-11;33100;2019-10;33100;2019-09;18100;2019-08;14800;2019-07;9900;2019-06;8100;2019-06;8100
"nike sweatshirt womens";LOW;69;18100;0.63;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;49500;2019-11;40500;2019-10;22200;2019-09;12100;2019-08;12100;2019-07;8100;2019-06;5400;2019-06;5400
"nike pullover hoodie";LOW;62;9900;0.63;100;2020-04;5400;2020-03;6600;2020-02;8100;2020-01;9900;2019-12;22200;2019-11;18100;2019-10;12100;2019-09;9900;2019-08;8100;2019-07;5400;2019-06;3600;2019-05;3600;2019-04;5400;2019-03;8100;2019-02;8100
"mens pullover hoodie";LOW;62;9900;1.22;100;2020-04;5400;2020-03;5400;2020-02;6600;2020-01;6600;2019-12;18100;2019-11;18100;2019-10;18100;2019-09;12100;2019-08;9900;2019-07;5400;2019-06;3600;2019-06;3600
"mens zip up hoodies";LOW;57;9900;1.41;100;2020-04;9900;2020-03;8100;2020-02;8100;2020-01;8100;2019-12;18100;2019-11;18100;2019-10;14800;2019-09;8100;2019-08;6600;2019-07;4400;2019-06;4400;2019-06;4400
"graphic hoodies men";LOW;62;9900;0.9;100;2020-04;8100;2020-03;8100;2020-02;8100;2020-01;9900;2019-12;18100;2019-11;14800;2019-10;14800;2019-09;9900;2019-08;8100;2019-07;4400;2019-06;2400;2019-06;2400
"blue nike hoodie";LOW;62;9900;0.35;100;2020-04;8100;2020-03;9900;2020-02;12100;2020-01;12100;2019-12;27100;2019-11;18100;2019-10;9900;2019-09;6600;2019-08;5400;2019-07;4400;2019-06;2900;2019-06;2900
"white hoodie mens";LOW;62;9900;0.91;100;2020-04;8100;2020-03;8100;2020-02;12100;2020-01;12100;2019-12;18100;2019-11;14800;2019-10;14800;2019-09;8100;2019-08;8100;2019-07;5400;2019-06;4400;2019-06;4400
"nike fleece hoodie";LOW;60;8100;0.6;100;2020-04;4400;2020-03;5400;2020-02;8100;2020-01;12100;2019-12;22200;2019-11;18100;2019-10;9900;2019-09;5400;2019-08;4400;2019-07;2900;2019-06;1900;2019-05;1900;2019-04;2900;2019-03;4400;2019-02;5400;2019-01;6600
"mens hoodies sale";LOW;60;8100;1.05;100;2020-04;5400;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;22200;2019-11;18100;2019-10;12100;2019-09;8100;2019-08;5400;2019-07;2900;2019-06;1900;2019-06;1900
"black zip up hoodie";LOW;55;8100;0.91;100;2020-04;9900;2020-03;9900;2020-02;8100;2020-01;9900;2019-12;12100;2019-11;12100;2019-10;12100;2019-09;9900;2019-08;8100;2019-07;5400;2019-06;4400;2019-06;4400
"hoodie sale";LOW;67;8100;0.92;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;14800;2019-10;12100;2019-09;8100;2019-08;6600;2019-07;4400;2019-06;1900;2019-06;1900
"purple nike hoodie";LOW;60;8100;0.42;100;2020-04;8100;2020-03;8100;2020-02;12100;2020-01;14800;2019-12;27100;2019-11;14800;2019-10;5400;2019-09;3600;2019-08;2400;2019-07;1600;2019-06;1000;2019-06;1000
"nike sweater men";LOW;60;8100;0.55;100;2020-04;4400;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;22200;2019-11;18100;2019-10;12100;2019-09;8100;2019-08;5400;2019-07;3600;2019-06;2900;2019-06;2900
"best hoodies";LOW;67;8100;1.75;100;2020-04;9900;2020-03;8100;2020-02;9900;2020-01;9900;2019-12;14800;2019-11;14800;2019-10;14800;2019-09;9900;2019-08;6600;2019-07;4400;2019-06;3600;2019-06;3600
"mens grey hoodie";LOW;60;8100;0.95;100;2020-04;6600;2020-03;9900;2020-02;9900;2020-01;9900;2019-12;14800;2019-11;12100;2019-10;12100;2019-09;8100;2019-08;6600;2019-07;4400;2019-06;2900;2019-06;2900
"black nike hoodie men's";LOW;53;6600;0.52;100;2020-04;4400;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;18100;2019-11;12100;2019-10;8100;2019-09;5400;2019-08;5400;2019-07;2900;2019-06;1600;2019-05;1900;2019-04;2400;2019-03;0;2019-02;0
"nike crewneck sweatshirt";LOW;58;6600;0.52;100;2020-04;6600;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;4400;2019-07;2900;2019-06;1600;2019-05;1600;2019-04;1900;2019-03;2900;2019-02;3600
"nike yellow hoodie";LOW;58;6600;0.4;100;2020-04;5400;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;18100;2019-11;12100;2019-10;5400;2019-09;3600;2019-08;3600;2019-07;2900;2019-06;1600;2019-05;1900;2019-04;2900;2019-03;4400;2019-02;4400;2019-01;5400
"vintage nike sweatshirt";LOW;58;6600;0.26;100;2020-01;12100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;5400;2019-07;4400;2019-06;2400;2019-05;1900;2019-04;2400;2019-03;2900;2019-02;4400
"nike therma hoodie";LOW;58;6600;0.48;100;2020-04;4400;2020-03;4400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;14800;2019-10;9900;2019-09;5400;2019-08;3600;2019-07;2400;2019-06;1900;2019-05;2400;2019-04;2900;2019-03;5400;2019-02;6600
"best hoodies for men";LOW;53;6600;2.27;100;2020-04;6600;2020-03;4400;2020-02;6600;2020-01;6600;2019-12;12100;2019-11;12100;2019-10;9900;2019-09;6600;2019-08;4400;2019-07;2400;2019-06;1900;2019-06;1900
"red hoodie men";LOW;58;6600;0.7;100;2020-04;5400;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;12100;2019-11;9900;2019-10;9900;2019-09;5400;2019-08;4400;2019-07;2900;2019-06;2400;2019-06;2400
"plain black hoodie";LOW;58;6600;0.59;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;9900;2019-11;9900;2019-10;9900;2019-09;6600;2019-08;6600;2019-07;4400;2019-06;2900;2019-06;2900
"yellow nike hoodie";LOW;58;6600;0.4;100;2020-04;5400;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;18100;2019-11;12100;2019-10;5400;2019-09;3600;2019-08;3600;2019-07;2900;2019-06;1600;2019-06;1600
"plain hoodies";LOW;66;6600;0.67;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;6600;2019-12;9900;2019-11;9900;2019-10;9900;2019-09;6600;2019-08;6600;2019-07;4400;2019-06;2400;2019-06;2400
"orange nike hoodie";LOW;57;5400;0.34;100;2020-04;5400;2020-03;5400;2020-02;6600;2020-01;6600;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;2900;2019-07;1900;2019-06;1600;2019-05;1900;2019-04;2900;2019-03;4400;2019-02;5400;2019-01;5400
"nike tech fleece hoodie";LOW;52;5400;0.52;100;2020-04;4400;2020-03;3600;2020-02;5400;2020-01;6600;2019-12;12100;2019-11;8100;2019-10;8100;2019-09;5400;2019-08;3600;2019-07;2900;2019-06;2900;2019-05;3600;2019-04;4400;2019-03;6600;2019-02;6600;2019-01;9900
"grey sweatshirt";LOW;64;5400;0.85;100;2020-04;5400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;6600;2019-11;8100;2019-10;6600;2019-09;5400;2019-08;4400;2019-07;3600;2019-06;2400;2019-06;2400
"white nike sweatshirt";LOW;57;5400;0.53;100;2020-04;3600;2020-03;4400;2020-02;5400;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;5400;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1300;2019-06;1300
"nike sweatsuit mens";LOW;57;5400;0.54;100;2020-04;2900;2020-03;2900;2020-02;5400;2020-01;5400;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;4400;2019-08;1900;2019-07;1600;2019-06;1000;2019-06;1000
"brown hoodie";LOW;64;5400;0.59;100;2020-04;4400;2020-03;4400;2020-02;4400;2020-01;5400;2019-12;9900;2019-11;9900;2019-10;9900;2019-09;6600;2019-08;4400;2019-07;2400;2019-06;1600;2019-06;1600
"cheap nike hoodies";LOW;57;5400;0.49;100;2020-04;3600;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;12100;2019-11;8100;2019-10;6600;2019-09;3600;2019-08;3600;2019-07;2400;2019-06;1300;2019-06;1300
"mens nike sweatsuit";LOW;57;5400;0.63;100;2020-04;3600;2020-03;2900;2020-02;5400;2020-01;5400;2019-12;18100;2019-11;14800;2019-10;8100;2019-09;3600;2019-08;1900;2019-07;1000;2019-06;880;2019-06;880
"mens hooded jacket";LOW;57;5400;0.97;100;2020-04;2900;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;12100;2019-11;14800;2019-10;9900;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-06;1600
"black nike hoodie women's";LOW;51;4400;0.53;100;2020-04;3600;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;9900;2019-11;8100;2019-10;4400;2019-09;2900;2019-08;2900;2019-07;1900;2019-06;1000;2019-05;1000;2019-04;1600;2019-03;2900;2019-02;2900;2019-01;3600
"guys hoodies";LOW;63;4400;0.93;100;2020-04;3600;2020-03;3600;2020-02;4400;2020-01;4400;2019-12;12100;2019-11;9900;2019-10;5400;2019-09;4400;2019-08;4400;2019-07;2900;2019-06;1900;2019-06;1900
"black nike sweatshirt";LOW;55;4400;0.58;100;2020-04;3600;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-06;1600
"nike air hoodie";LOW;55;4400;0.34;100;2020-04;3600;2020-03;4400;2020-02;5400;2020-01;6600;2019-12;9900;2019-11;8100;2019-10;6600;2019-09;3600;2019-08;2900;2019-07;1600;2019-06;880;2019-06;880
"navy blue hoodie";LOW;55;4400;0.73;100;2020-04;2900;2020-03;3600;2020-02;4400;2020-01;4400;2019-12;6600;2019-11;6600;2019-10;5400;2019-09;4400;2019-08;5400;2019-07;2900;2019-06;1600;2019-06;1600
"nike hoodie sale";LOW;55;4400;0.52;99.7;2020-04;2900;2020-03;2900;2020-02;4400;2020-01;5400;2019-12;14800;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;2400;2019-07;1600;2019-06;880;2019-06;880
"purple hoodie mens";LOW;55;4400;0.67;100;2020-04;5400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;9900;2019-11;6600;2019-10;5400;2019-09;3600;2019-08;2900;2019-07;1900;2019-06;1300;2019-06;1300
"black and red hoodie";LOW;51;4400;0.45;100;2020-04;3600;2020-03;4400;2020-02;4400;2020-01;5400;2019-12;8100;2019-11;5400;2019-10;5400;2019-09;3600;2019-08;3600;2019-07;2900;2019-06;1600;2019-06;1600
"white zip up hoodie";LOW;51;4400;0.57;100;2020-04;8100;2020-03;5400;2020-02;4400;2020-01;4400;2019-12;4400;2019-11;4400;2019-10;4400;2019-09;2900;2019-08;3600;2019-07;2400;2019-06;1900;2019-06;1900
"adidas sweatshirt mens";LOW;55;4400;1.45;100;2020-04;2400;2020-03;2400;2020-02;3600;2020-01;4400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-06;1600
"yellow hoodie men";LOW;55;4400;0.81;100;2020-04;3600;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;8100;2019-11;6600;2019-10;8100;2019-09;4400;2019-08;4400;2019-07;2900;2019-06;2400;2019-06;2400
"nike hoodies clearance";LOW;54;3600;0.48;100;2020-04;1900;2020-03;1900;2020-02;2900;2020-01;2900;2019-12;9900;2019-11;8100;2019-10;5400;2019-09;2900;2019-08;2400;2019-07;1600;2019-06;1000;2019-05;1300;2019-04;1600;2019-03;2400;2019-02;6600;2019-01;12100
"nike swoosh hoodie";LOW;54;3600;0.55;100;2020-04;3600;2020-03;5400;2020-02;5400;2020-01;5400;2019-12;8100;2019-11;5400;2019-10;2900;2019-09;1600;2019-08;880;2019-07;720;2019-06;480;2019-05;720;2019-04;720;2019-03;1000;2019-02;1300;2019-01;1000
"red nike hoodie men's";LOW;49;3600;0.61;100;2020-03;2400;2020-02;4400;2020-01;4400;2019-12;12100;2019-11;5400;2019-10;3600;2019-09;1900;2019-08;1900;2019-07;1300;2019-06;880;2019-05;1000;2019-04;1300;2019-03;0
"mens hooded sweatshirts";LOW;54;3600;1.8;100;2020-04;2400;2020-03;2400;2020-02;2900;2020-01;3600;2019-12;12100;2019-11;8100;2019-10;5400;2019-09;2900;2019-08;1900;2019-07;1000;2019-06;880;2019-06;880
"nike hoody";LOW;62;3600;0.43;100;2020-04;2900;2020-03;2900;2020-02;4400;2020-01;4400;2019-12;9900;2019-11;8100;2019-10;4400;2019-09;2900;2019-08;2400;2019-07;1600;2019-06;880;2019-06;880
"white nike hoodie mens";LOW;49;3600;0.54;100;2020-04;1900;2020-03;2400;2020-02;3600;2020-01;4400;2019-12;12100;2019-11;6600;2019-10;3600;2019-09;2400;2019-08;2400;2019-07;1600;2019-06;1000;2019-06;1000
"mens nike hoodie sale";LOW;49;3600;0.51;100;2020-04;1900;2020-03;1900;2020-02;2900;2020-01;2900;2019-12;12100;2019-11;6600;2019-10;4400;2019-09;2900;2019-08;1900;2019-07;1300;2019-06;590;2019-06;590
"nike sweatsuit men";LOW;54;3600;0.6;100;2020-04;3600;2020-03;2900;2020-02;3600;2020-01;4400;2019-12;12100;2019-11;8100;2019-10;4400;2019-09;2400;2019-08;1000;2019-07;1000;2019-06;880;2019-06;880
"zip hoodie mens";LOW;54;3600;1.56;100;2020-04;2900;2020-03;2900;2020-02;3600;2020-01;3600;2019-12;8100;2019-11;6600;2019-10;5400;2019-09;3600;2019-08;2400;2019-07;1600;2019-06;1300;2019-06;1300
