Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike sweatshirt womens";LOW;69;18100;0.63;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;49500;2019-11;40500;2019-10;22200;2019-09;12100;2019-08;12100;2019-07;8100;2019-06;5400;2019-05;6600;2019-04;8100;2019-03;14800;2019-02;14800
"sweatshirt nike womens";LOW;69;18100;0.73;100;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;49500;2019-11;40500;2019-10;22200;2019-09;12100;2019-08;12100;2019-07;8100;2019-06;5400;2019-05;6600;2019-04;8100;2019-03;14800;2019-02;14800;2019-01;18100
"womens nike sweatshirt";LOW;69;18100;0.73;100;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;49500;2019-11;40500;2019-10;22200;2019-09;12100;2019-08;12100;2019-07;8100;2019-06;5400;2019-05;6600;2019-04;8100;2019-03;14800;2019-02;14800;2019-01;18100
"nike womens sweatshirt";LOW;69;18100;0.63;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;49500;2019-11;40500;2019-10;22200;2019-09;12100;2019-08;12100;2019-07;8100;2019-06;5400;2019-05;6600;2019-04;8100;2019-03;14800;2019-02;14800;2019-01;18100
"nike jumpsuit men";LOW;69;18100;0.43;100;2020-04;12100;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;49500;2019-11;40500;2019-10;33100;2019-09;14800;2019-08;8100;2019-07;8100;2019-06;5400;2019-06;5400
"nike jogging suit";LOW;69;18100;0.62;100;2020-04;14800;2020-03;12100;2020-02;14800;2020-01;18100;2019-12;49500;2019-11;40500;2019-10;33100;2019-09;22200;2019-08;12100;2019-07;6600;2019-06;5400;2019-06;5400
"nike shirts women";LOW;69;18100;0.62;100;2020-04;22200;2020-03;18100;2020-02;14800;2020-01;12100;2019-12;18100;2019-11;14800;2019-10;12100;2019-09;14800;2019-08;22200;2019-07;22200;2019-06;18100;2019-06;18100
"white nike hoodie";LOW;69;18100;0.41;100;2020-04;12100;2020-03;14800;2020-02;22200;2020-01;22200;2019-12;49500;2019-11;33100;2019-10;18100;2019-09;12100;2019-08;12100;2019-07;8100;2019-06;5400;2019-06;5400
"nike jacket women";LOW;69;18100;0.56;100;2020-04;14800;2020-03;14800;2020-02;14800;2020-01;18100;2019-12;40500;2019-11;33100;2019-10;22200;2019-09;14800;2019-08;18100;2019-07;14800;2019-06;9900;2019-06;9900
"womens nike crewneck sweatshirt";LOW;47;1600;0.7;100;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;4400;2019-11;3600;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;720;2019-06;390;2019-05;480;2019-04;720;2019-03;1300;2019-02;1300;2019-01;1600
"nike crewneck sweatshirt womens";LOW;47;1600;0.51;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;4400;2019-11;3600;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;720;2019-06;390;2019-05;480;2019-04;720;2019-03;1300;2019-02;1300
"nike crew neck women's";LOW;47;1600;0.58;100;2020-03;1300;2020-02;1600;2020-01;1900;2019-12;4400;2019-11;2900;2019-10;1600;2019-09;1000;2019-08;1000;2019-07;880;2019-06;590;2019-05;480;2019-04;880
"women's designer hoodies";LOW;51;1600;1.05;100;2020-01;1900;2019-12;3600;2019-11;3600;2019-10;2900;2019-09;1900;2019-08;1300;2019-07;720;2019-06;720;2019-05;880;2019-04;880;2019-03;1300;2019-02;1600;2019-01;1600
"nike sweaters for girls";LOW;47;1600;0.43;100;2020-04;880;2020-03;880;2020-02;1300;2020-01;1300;2019-12;4400;2019-11;2900;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;1000;2019-06;590;2019-06;590
"nike gear";LOW;59;1600;0.49;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1300;2019-12;2900;2019-11;1900;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;1000;2019-06;1300;2019-06;1300
"pink nike windbreaker";LOW;51;1600;0.39;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1300;2019-12;1900;2019-11;1900;2019-10;1900;2019-09;1600;2019-08;1900;2019-07;1600;2019-06;1000;2019-06;1000
"mens nike clothes";LOW;51;1600;1.08;100;2020-04;1600;2020-03;1000;2020-02;1300;2020-01;1000;2019-12;2900;2019-11;2400;2019-10;1300;2019-09;1300;2019-08;1600;2019-07;1000;2019-06;880;2019-06;880
"white nike sweater";LOW;51;1600;0.55;100;2020-04;1000;2020-03;1300;2020-02;1900;2020-01;1900;2019-12;4400;2019-11;2900;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1000;2019-06;720;2019-06;720
