Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike white sweatshirt";LOW;57;5400;0.53;100;2020-04;3600;2020-03;4400;2020-02;5400;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;5400;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1300;2019-05;1600;2019-04;2400;2019-03;2900;2019-02;2900;2019-01;3600
"nike sweatshirt white";LOW;57;5400;0.53;100;2020-04;3600;2020-03;4400;2020-02;5400;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;5400;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1300;2019-05;1600;2019-04;2400;2019-03;2900;2019-02;2900;2019-01;3600
"orange nike hoodie";LOW;57;5400;0.34;100;2020-04;5400;2020-03;5400;2020-02;6600;2020-01;6600;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;2900;2019-07;1900;2019-06;1600;2019-06;1600
"nike zip up jacket";LOW;52;5400;0.52;100;2020-04;4400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;9900;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;4400;2019-07;2900;2019-06;1600;2019-06;1600
"white nike shirt";LOW;57;5400;0.6;100;2020-04;5400;2020-03;4400;2020-02;4400;2020-01;3600;2019-12;5400;2019-11;4400;2019-10;4400;2019-09;4400;2019-08;8100;2019-07;8100;2019-06;5400;2019-06;5400
"nike sweatsuit mens";LOW;57;5400;0.54;100;2020-04;2900;2020-03;2900;2020-02;5400;2020-01;5400;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;4400;2019-08;1900;2019-07;1600;2019-06;1000;2019-06;1000
"black and white nike windbreaker";LOW;49;5400;0.31;100;2020-04;2900;2020-03;3600;2020-02;3600;2020-01;4400;2019-12;9900;2019-11;8100;2019-10;6600;2019-09;4400;2019-08;5400;2019-07;4400;2019-06;2900;2019-06;2900
"mens nike sweatsuit";LOW;57;5400;0.63;100;2020-04;3600;2020-03;2900;2020-02;5400;2020-01;5400;2019-12;18100;2019-11;14800;2019-10;8100;2019-09;3600;2019-08;1900;2019-07;1000;2019-06;880;2019-06;880
"cheap nike hoodies";LOW;57;5400;0.49;100;2020-04;3600;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;12100;2019-11;8100;2019-10;6600;2019-09;3600;2019-08;3600;2019-07;2400;2019-06;1300;2019-06;1300
"nike tech hoodie";LOW;57;5400;0.5;100;2020-04;4400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;12100;2019-11;9900;2019-10;12100;2019-09;6600;2019-08;4400;2019-07;2400;2019-06;1900;2019-06;1900
"white sweatshirt nike";LOW;55;4400;0.46;100;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;5400;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1300;2019-05;1600;2019-04;2400;2019-03;2900;2019-02;2900;2019-01;3600
"white nike sweatshirt";LOW;55;4400;0.46;100;2020-01;6600;2019-12;14800;2019-11;12100;2019-10;5400;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1300;2019-05;1600;2019-04;2400;2019-03;2900;2019-02;2900
