Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"zip up hoodie nike";LOW;59;12100;0.51;100;2020-01;12100;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;12100;2019-08;9900;2019-07;6600;2019-06;5400;2019-05;6600;2019-04;6600;2019-03;9900;2019-02;9900;2019-01;9900
"nike hoodie zip up";LOW;59;12100;0.5;100;2020-04;9900;2020-03;9900;2020-02;12100;2020-01;12100;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;12100;2019-08;9900;2019-07;6600;2019-06;5400;2019-05;5400;2019-04;6600;2019-03;9900;2019-02;9900;2019-01;9900
"nike zip up hoodie";LOW;59;12100;0.5;100;2020-04;9900;2020-03;9900;2020-02;12100;2020-01;12100;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;12100;2019-08;9900;2019-07;6600;2019-06;5400;2019-05;5400;2019-04;6600;2019-03;9900;2019-02;9900
"nike sweatshirts men";LOW;64;12100;0.7;100;2020-04;8100;2020-03;6600;2020-02;12100;2020-01;12100;2019-12;40500;2019-11;33100;2019-10;14800;2019-09;8100;2019-08;6600;2019-07;4400;2019-06;2900;2019-06;2900
"black nike hoodie zip up";LOW;44;2400;0.55;100;2020-03;2900;2020-02;2900;2020-01;2900;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;2400;2019-08;2400;2019-07;1600;2019-06;1000;2019-05;1000;2019-04;880;2019-03;1300;2019-02;1300;2019-01;1300
"mens nike zip up hoodie";LOW;44;2400;0.55;100;2020-04;1600;2020-03;1600;2020-02;2400;2020-01;2400;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;1900;2019-08;1600;2019-07;1000;2019-06;880;2019-05;1000;2019-04;1300;2019-03;1900;2019-02;1600
"black zip up hoodie nike";LOW;44;2400;0.44;100;2020-04;2400;2020-03;2900;2020-02;2900;2020-01;2900;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;2400;2019-08;2400;2019-07;1600;2019-06;1000;2019-05;1000;2019-04;880;2019-03;1300;2019-02;1300;2019-01;1300
"womens zip up hoodie nike";LOW;44;2400;0.55;100;2020-01;2400;2019-12;4400;2019-11;3600;2019-10;2400;2019-09;1900;2019-08;1900;2019-07;1300;2019-06;1000;2019-05;1300;2019-04;1300;2019-03;1900;2019-02;1900;2019-01;2400
"nike mens zip up hoodie";LOW;44;2400;0.55;100;2020-04;1600;2020-03;1600;2020-02;2400;2020-01;2400;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;1900;2019-08;1600;2019-07;1000;2019-06;880;2019-05;1000;2019-04;1300;2019-03;1900;2019-02;1600;2019-01;1900
"nike zip up hoodie black";LOW;44;2400;0.44;100;2020-04;2400;2020-03;2900;2020-02;2900;2020-01;2900;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;2400;2019-08;2400;2019-07;1600;2019-06;1000;2019-05;1000;2019-04;880;2019-03;1300;2019-02;1300;2019-01;1300
"nike zip up hoodie mens";LOW;44;2400;0.55;100;2020-04;1600;2020-03;1600;2020-02;2400;2020-01;2400;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;1900;2019-08;1600;2019-07;1000;2019-06;880;2019-05;1000;2019-04;1300;2019-03;1900;2019-02;1600;2019-01;1900
"black nike zip-up hoodie";LOW;48;2400;0.44;100;2020-04;2400;2020-03;2900;2020-02;2900;2020-01;2900;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;2400;2019-08;2400;2019-07;1600;2019-06;1000;2019-05;1000
"women's nike hoodies sale";LOW;48;2400;0.57;100;2020-03;1900;2020-02;2400;2020-01;2400;2019-12;6600;2019-11;4400;2019-10;2900;2019-09;1900;2019-08;1600;2019-07;1000;2019-06;590;2019-05;880;2019-04;1000;2019-03;0
