Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nikeid sweatshirt";LOW;77;74000;0.5;100;2020-04;49500;2020-03;49500;2020-02;60500;2020-01;60500;2019-12;201000;2019-11;165000;2019-10;74000;2019-09;49500;2019-08;40500;2019-07;27100;2019-06;18100;2019-05;22200;2019-04;10;2019-03;10;2019-02;49500;2019-01;49500
nike;LOW;69;4090000;0.08;43.2;2020-04;5000000;2020-03;4090000;2020-02;4090000;2020-01;4090000;2019-12;6120000;2019-11;5000000;2019-10;3350000;2019-09;3350000;2019-08;5000000;2019-07;5000000;2019-06;3350000;2019-06;3350000
"nike id";LOW;59;135000;0.81;46.6;2020-04;165000;2020-03;110000;2020-02;135000;2020-01;135000;2019-12;201000;2019-11;135000;2019-10;135000;2019-09;110000;2019-08;135000;2019-07;135000;2019-06;110000;2019-06;110000
"custom shoes";LOW;77;90500;0.66;100;2020-04;110000;2020-03;110000;2020-02;110000;2020-01;110000;2019-12;110000;2019-11;110000;2019-10;90500;2019-09;90500;2019-08;90500;2019-07;90500;2019-06;74000;2019-06;74000
"designer shoes";LOW;77;60500;0.71;100;2020-04;74000;2020-03;74000;2020-02;74000;2020-01;74000;2019-12;74000;2019-11;60500;2019-10;60500;2019-09;60500;2019-08;60500;2019-07;49500;2019-06;40500;2019-06;40500
customize;LOW;73;49500;1.76;56;2020-04;60500;2020-03;40500;2020-02;49500;2020-01;49500;2019-12;49500;2019-11;49500;2019-10;49500;2019-09;40500;2019-08;40500;2019-07;40500;2019-06;40500;2019-06;40500
"nike custom shoes";LOW;69;40500;0.36;97.9;2020-04;40500;2020-03;40500;2020-02;49500;2020-01;49500;2019-12;49500;2019-11;49500;2019-10;33100;2019-09;33100;2019-08;40500;2019-07;40500;2019-06;33100;2019-06;33100
"nike custom";LOW;74;40500;0.54;89.6;2020-04;40500;2020-03;40500;2020-02;49500;2020-01;49500;2019-12;60500;2019-11;49500;2019-10;40500;2019-09;40500;2019-08;40500;2019-07;40500;2019-06;33100;2019-06;33100
"nike flag shoes";LOW;70;22200;0.23;99.9;2020-04;210;2020-03;260;2020-02;390;2020-01;480;2019-12;590;2019-11;590;2019-10;590;2019-09;880;2019-08;1600;2019-07;246000;2019-06;390;2019-06;390
"nike usa";LOW;75;22200;0.17;92.8;2020-04;18100;2020-03;22200;2020-02;18100;2020-01;22200;2019-12;27100;2019-11;22200;2019-10;18100;2019-09;18100;2019-08;27100;2019-07;33100;2019-06;22200;2019-06;22200
"designer sneakers";LOW;77;22200;0.82;100;2020-04;27100;2020-03;27100;2020-02;27100;2020-01;27100;2019-12;27100;2019-11;22200;2019-10;22200;2019-09;18100;2019-08;18100;2019-07;18100;2019-06;14800;2019-06;14800
"nike girls";LOW;76;18100;0.63;100;2020-04;14800;2020-03;14800;2020-02;14800;2020-01;12100;2019-12;22200;2019-11;18100;2019-10;12100;2019-09;14800;2019-08;27100;2019-07;27100;2019-06;12100;2019-06;12100
