Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"north carolina sweatshirt";LOW;53;2400;0.66;100;2020-04;2400;2020-03;1900;2020-02;1900;2020-01;2400;2019-12;6600;2019-11;4400;2019-10;2400;2019-09;1900;2019-08;1900;2019-07;1600;2019-06;1000;2019-05;880;2019-04;1300;2019-03;2400;2019-02;1900;2019-01;1600
"university of south carolina bookstore";HIGH;30;2400;0.87;55.3;2020-02;1000;2020-01;3600;2019-12;2400;2019-11;1600;2019-10;1600;2019-09;2400;2019-08;6600;2019-07;1900;2019-06;1600;2019-05;1900;2019-04;1900;2019-03;1600;2019-02;1300;2019-01;4400
"carolina tarheels";MEDIUM;29;2400;0.93;5.8;2020-04;720;2020-03;4400;2020-02;6600;2020-01;3600;2019-12;3600;2019-11;5400;2019-10;1900;2019-09;1600;2019-08;1000;2019-07;590;2019-06;1000;2019-06;1000
"north carolina jersey";LOW;53;2400;0.44;100;2020-04;2900;2020-03;5400;2020-02;5400;2020-01;1900;2019-12;1600;2019-11;1600;2019-10;1300;2019-09;1600;2019-08;1900;2019-07;1600;2019-06;1600;2019-06;1600
"zip sweatshirt";LOW;60;2400;1.37;100;2020-04;2400;2020-03;1900;2020-02;2400;2020-01;2400;2019-12;3600;2019-11;3600;2019-10;3600;2019-09;2400;2019-08;1900;2019-07;1300;2019-06;1300;2019-06;1300
"north carolina hat";LOW;53;2400;0.61;100;2020-04;2900;2020-03;2900;2020-02;2400;2020-01;1900;2019-12;2900;2019-11;2400;2019-10;1900;2019-09;1900;2019-08;2400;2019-07;2400;2019-06;2400;2019-06;2400
"carolina tarheels basketball";MEDIUM;20;2400;0;2.7;2020-04;140;2020-03;1300;2020-02;3600;2020-01;4400;2019-12;6600;2019-11;8100;2019-10;720;2019-09;480;2019-08;140;2019-07;70;2019-06;140;2019-06;140
"unc hoodie";LOW;60;2400;0.66;100;2020-04;2400;2020-03;3600;2020-02;2900;2020-01;2400;2019-12;5400;2019-11;4400;2019-10;2900;2019-09;1900;2019-08;1600;2019-07;1000;2019-06;720;2019-06;720
"north carolina hoodie";LOW;53;2400;0.49;100;2020-04;1900;2020-03;2900;2020-02;2400;2020-01;1900;2019-12;5400;2019-11;4400;2019-10;2400;2019-09;1900;2019-08;1300;2019-07;1300;2019-06;720;2019-06;720
"north carolina state sweatshirt";LOW;45;880;0.77;100;2020-04;1000;2020-03;590;2020-02;720;2020-01;880;2019-12;1900;2019-11;2400;2019-10;1000;2019-09;880;2019-08;720;2019-07;480;2019-06;390;2019-05;320;2019-04;480;2019-03;880;2019-02;720;2019-01;880
"unc baseball jersey";LOW;50;880;0.41;100;2020-04;1300;2020-03;1900;2020-02;1300;2020-01;720;2019-12;480;2019-11;590;2019-10;590;2019-09;590;2019-08;480;2019-07;480;2019-06;880;2019-06;880
"nc state apparel";LOW;50;880;0.93;100;2020-04;1000;2020-03;720;2020-02;720;2020-01;720;2019-12;1600;2019-11;1600;2019-10;880;2019-09;1000;2019-08;1300;2019-07;590;2019-06;720;2019-06;720
"nc state sweatshirt";LOW;50;880;0.77;100;2020-04;1000;2020-03;590;2020-02;720;2020-01;880;2019-12;1900;2019-11;2400;2019-10;1000;2019-09;880;2019-08;720;2019-07;480;2019-06;390;2019-06;390
"north carolina tar heels sweatshirt";LOW;41;390;0.72;100;2020-04;320;2020-03;390;2020-02;320;2020-01;260;2019-12;1300;2019-11;720;2019-10;320;2019-09;210;2019-08;170;2019-07;110;2019-06;110;2019-05;70;2019-04;170;2019-03;480;2019-02;390;2019-01;320
"north carolina crewneck";LOW;50;390;0.55;100;2020-04;390;2020-03;390;2020-02;390;2020-01;390;2019-12;1000;2019-11;720;2019-10;390;2019-09;260;2019-08;320;2019-07;210;2019-06;140;2019-05;170;2019-04;260;2019-03;480;2019-02;260;2019-01;260
"unc hoodie jordan";LOW;50;390;0.51;100;2020-04;390;2020-03;880;2020-02;590;2020-01;390;2019-12;880;2019-11;720;2019-10;480;2019-09;210;2019-08;140;2019-07;70;2019-06;40;2019-05;50;2019-04;140;2019-03;480;2019-02;390;2019-01;210
"north carolina tar heels mens apparel";LOW;39;390;0.75;100;2020-04;390;2020-03;390;2020-02;390;2020-01;210;2019-12;880;2019-11;590;2019-10;320;2019-09;260;2019-08;260;2019-07;210;2019-06;260;2019-05;210;2019-04;0;2019-03;0
"tar heels shirt";LOW;50;390;0.75;100;2020-04;320;2020-03;480;2020-02;320;2020-01;260;2019-12;480;2019-11;480;2019-10;320;2019-09;390;2019-08;480;2019-07;320;2019-06;260;2019-06;260
"unc sweatpants";LOW;57;390;0.62;100;2020-04;390;2020-03;480;2020-02;390;2020-01;320;2019-12;1000;2019-11;720;2019-10;480;2019-09;210;2019-08;170;2019-07;140;2019-06;90;2019-06;90
"south carolina hoodie";LOW;50;390;0.74;100;2020-04;390;2020-03;320;2020-02;390;2020-01;390;2019-12;880;2019-11;880;2019-10;590;2019-09;320;2019-08;260;2019-07;260;2019-06;140;2019-06;140
"carolina apparel";LOW;49;390;0.55;77.4;2020-04;260;2020-03;320;2020-02;320;2020-01;320;2019-12;720;2019-11;720;2019-10;480;2019-09;390;2019-08;390;2019-07;390;2019-06;390;2019-06;390
"north carolina basketball shorts";LOW;45;390;0.44;100;2020-04;720;2020-03;880;2020-02;590;2020-01;260;2019-12;320;2019-11;320;2019-10;210;2019-09;320;2019-08;320;2019-07;390;2019-06;260;2019-06;260
"north carolina football jersey";LOW;45;390;0.45;100;2020-04;390;2020-03;390;2020-02;390;2020-01;320;2019-12;390;2019-11;480;2019-10;590;2019-09;720;2019-08;480;2019-07;210;2019-06;110;2019-06;110
"north carolina clothing";LOW;50;390;0.59;100;2020-04;480;2020-03;720;2020-02;480;2020-01;390;2019-12;880;2019-11;590;2019-10;320;2019-09;320;2019-08;260;2019-07;320;2019-06;320;2019-06;320
"unc crewneck";LOW;57;390;0.72;100;2020-04;390;2020-03;480;2020-02;480;2020-01;480;2019-12;880;2019-11;590;2019-10;390;2019-09;390;2019-08;260;2019-07;210;2019-06;140;2019-06;140
"unc jordan hoodie";LOW;50;390;0.51;100;2020-04;390;2020-03;880;2020-02;590;2020-01;390;2019-12;880;2019-11;720;2019-10;480;2019-09;210;2019-08;140;2019-07;70;2019-06;40;2019-06;40
"unc merch";LOW;57;390;1.11;99.9;2020-04;720;2020-03;590;2020-02;480;2020-01;390;2019-12;590;2019-11;590;2019-10;390;2019-09;390;2019-08;320;2019-07;260;2019-06;260;2019-06;260
"university of north carolina sweatshirt";LOW;41;210;0.86;100;2020-03;110;2020-02;140;2020-01;170;2019-12;480;2019-11;390;2019-10;170;2019-09;140;2019-08;210;2019-07;140;2019-06;110;2019-05;110;2019-04;140;2019-03;170;2019-02;170;2019-01;170
"north carolina lacrosse sweatshirt";LOW;44;210;0.76;100;2020-04;170;2020-03;170;2020-02;260;2020-01;140;2019-12;590;2019-11;390;2019-10;170;2019-09;140;2019-08;90;2019-07;70;2019-06;50;2019-05;70;2019-04;90;2019-03;170;2019-02;90;2019-01;50
"carolina blue sweatshirt";LOW;49;210;0.65;100;2020-04;260;2020-03;320;2020-02;260;2020-01;210;2019-12;320;2019-11;320;2019-10;260;2019-09;210;2019-08;210;2019-07;110;2019-06;90;2019-06;90
