Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"sweatshirt levis";LOW;59;1600;0.77;99.9;2020-04;1300;2020-03;1300;2020-02;1600;2020-01;1900;2019-12;3600;2019-11;2900;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1000;2019-06;590;2019-05;880;2019-04;880;2019-03;1000;2019-02;1000;2019-01;1600
"levis sweatshirt";LOW;59;1600;0.77;99.9;2020-04;1300;2020-03;1300;2020-02;1600;2020-01;1900;2019-12;3600;2019-11;2900;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1000;2019-06;590;2019-05;880;2019-04;880;2019-03;1000;2019-02;1000;2019-01;1600;2018-12;2900
"tommy jeans sweatshirt";LOW;51;1600;0.7;100;2020-04;1000;2020-03;720;2020-02;1000;2020-01;1300;2019-12;1900;2019-11;1900;2019-10;1900;2019-09;1900;2019-08;2900;2019-07;2900;2019-06;1300;2019-05;1600;2019-04;1600;2019-03;1900;2019-02;2400;2019-01;2900
"levis 510 jeans";LOW;51;1600;1.36;100;2020-04;1000;2020-03;1300;2020-02;1600;2020-01;1900;2019-12;2900;2019-11;2400;2019-10;1600;2019-09;1300;2019-08;1600;2019-07;1300;2019-06;1000;2019-06;1000
"levis shirts womens";LOW;51;1600;0.62;99.6;2020-04;1000;2020-03;1000;2020-02;1300;2020-01;1300;2019-12;1600;2019-11;1300;2019-10;1600;2019-09;1900;2019-08;2400;2019-07;1900;2019-06;1300;2019-06;1300
"levis chinos";LOW;59;1600;1.26;100;2020-04;1000;2020-03;1600;2020-02;2400;2020-01;1600;2019-12;1900;2019-11;1900;2019-10;1900;2019-09;1600;2019-08;1600;2019-07;1300;2019-06;1600;2019-06;1600
"levis 519";LOW;59;1600;0.51;99.9;2020-04;880;2020-03;1000;2020-02;1600;2020-01;1900;2019-12;2400;2019-11;2400;2019-10;2400;2019-09;1900;2019-08;1600;2019-07;1300;2019-06;1600;2019-06;1600
"mens levis sweatshirt";LOW;49;260;0.97;100;2020-04;170;2020-03;170;2020-02;320;2020-01;390;2019-12;590;2019-11;480;2019-10;390;2019-09;210;2019-08;210;2019-07;110;2019-06;50;2019-05;110;2019-04;110;2019-03;210;2019-02;170;2019-01;210
"adidas sweatshirt amazon";MEDIUM;47;260;0.41;92.7;2020-04;90;2020-03;140;2020-02;170;2020-01;260;2019-12;480;2019-11;480;2019-10;320;2019-09;170;2019-08;210;2019-07;170;2019-06;90;2019-05;210;2019-04;210;2019-03;320;2019-02;210;2019-01;320
"tommy hilfiger hoodie macy's";LOW;44;260;0.43;100;2020-03;110;2020-02;170;2020-01;260;2019-12;590;2019-11;390;2019-10;260;2019-09;170;2019-08;390;2019-07;140;2019-06;110;2019-05;260;2019-04;210;2019-03;320;2019-02;140;2019-01;260
"levi's plaid shirt";LOW;49;260;0.65;100;2020-04;110;2020-03;140;2020-02;210;2020-01;210;2019-12;390;2019-11;480;2019-10;480;2019-09;320;2019-08;260;2019-07;170;2019-06;110;2019-06;110
"levi button up shirts";LOW;44;260;0.76;100;2020-04;140;2020-03;170;2020-02;140;2020-01;170;2019-12;210;2019-11;320;2019-10;320;2019-09;320;2019-08;260;2019-07;320;2019-06;260;2019-06;260
"levis shop";LOW;54;260;3.59;91.7;2020-04;110;2020-03;210;2020-02;210;2020-01;260;2019-12;320;2019-11;260;2019-10;390;2019-09;210;2019-08;260;2019-07;260;2019-06;260;2019-06;260
"levis jeans online";LOW;49;260;2.42;100;2020-04;390;2020-03;210;2020-02;170;2020-01;170;2019-12;210;2019-11;210;2019-10;170;2019-09;140;2019-08;140;2019-07;170;2019-06;390;2019-06;390
