Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"under armor sweatshirt boys";LOW;46;1300;0.68;100;2020-01;1000;2019-12;2900;2019-11;2900;2019-10;1900;2019-09;1000;2019-08;1000;2019-07;590;2019-06;390;2019-05;720;2019-04;590;2019-03;1000;2019-02;720;2019-01;880
"girls under armour hoodie";LOW;46;1300;1.16;100;2020-03;880;2020-02;1000;2020-01;1000;2019-12;3600;2019-11;3600;2019-10;1900;2019-09;1000;2019-08;1000;2019-07;720;2019-06;390;2019-05;720;2019-04;720;2019-03;1600;2019-02;1300;2019-01;1600
"boys zip up hoodie";LOW;46;1300;1.08;100;2020-04;590;2020-03;720;2020-02;720;2020-01;720;2019-12;1600;2019-11;1600;2019-10;2400;2019-09;2400;2019-08;1900;2019-07;1000;2019-06;590;2019-05;880;2019-04;1000;2019-03;1000;2019-02;590
"cheap under armour";LOW;51;1300;1.23;100;2020-03;720;2020-02;880;2020-01;880;2019-12;1600;2019-11;1600;2019-10;1600;2019-09;1000;2019-08;1900;2019-07;1900;2019-06;1300;2019-05;1000;2019-04;1300;2019-03;1600;2019-02;1600
"black under armour hoodie";LOW;46;1300;0.73;100;2020-04;880;2020-03;1000;2020-02;1600;2020-01;1600;2019-12;2400;2019-11;1900;2019-10;1600;2019-09;1000;2019-08;720;2019-07;480;2019-06;480;2019-06;480
"under armour youth shoes";LOW;46;1300;1.16;100;2020-04;720;2020-03;720;2020-02;880;2020-01;1000;2019-12;1600;2019-11;1300;2019-10;880;2019-09;1000;2019-08;2900;2019-07;2900;2019-06;1000;2019-06;1000
"boys under armour socks";LOW;46;1300;0.88;100;2020-04;1000;2020-03;880;2020-02;590;2020-01;720;2019-12;2400;2019-11;1300;2019-10;880;2019-09;1000;2019-08;2400;2019-07;1600;2019-06;1000;2019-06;1000
"boys under armour underwear";LOW;46;1300;1.24;100;2020-04;1300;2020-03;880;2020-02;880;2020-01;1000;2019-12;2400;2019-11;1600;2019-10;1000;2019-09;1300;2019-08;1900;2019-07;1900;2019-06;1000;2019-06;1000
"boys under armour polo";LOW;46;1300;1.39;100;2020-04;390;2020-03;480;2020-02;390;2020-01;390;2019-12;260;2019-11;320;2019-10;590;2019-09;1600;2019-08;3600;2019-07;4400;2019-06;1300;2019-06;1300
"under armour outlet";LOW;70;165000;0.17;100;2020-01;135000;2019-12;301000;2019-11;301000;2019-10;165000;2019-09;135000;2019-08;201000;2019-07;201000;2019-06;135000;2019-05;135000;2019-04;135000;2019-03;165000;2019-02;135000
"men's hoodies";LOW;77;165000;1.18;100;2020-04;110000;2020-03;90500;2020-02;135000;2020-01;135000;2019-12;301000;2019-11;301000;2019-10;246000;2019-09;165000;2019-08;135000;2019-07;74000;2019-06;49500;2019-05;49500;2019-04;60500;2019-03;90500;2019-02;110000
"under armour shoes";LOW;70;135000;0.62;100;2020-01;135000;2019-12;165000;2019-11;135000;2019-10;110000;2019-09;110000;2019-08;165000;2019-07;165000;2019-06;135000;2019-05;135000;2019-04;135000;2019-03;165000;2019-02;135000
"girls hoodies";LOW;77;40500;0.85;100;2020-03;33100;2020-02;33100;2020-01;33100;2019-12;90500;2019-11;90500;2019-10;60500;2019-09;40500;2019-08;40500;2019-07;33100;2019-06;18100;2019-05;18100;2019-04;22200;2019-03;27100;2019-02;22200;2019-01;27100
"boys hoodies";LOW;77;33100;0.69;100;2020-04;22200;2020-03;27100;2020-02;27100;2020-01;27100;2019-12;60500;2019-11;49500;2019-10;40500;2019-09;33100;2019-08;33100;2019-07;18100;2019-06;12100;2019-05;12100;2019-04;14800;2019-03;18100;2019-02;14800
