Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"under armour sweatshirt women's";LOW;48;2400;0.75;100;2020-04;1600;2020-03;1300;2020-02;1900;2020-01;2400;2019-12;6600;2019-11;5400;2019-10;3600;2019-09;2400;2019-08;1900;2019-07;880;2019-06;880;2019-05;1300
"under armour women's sweatshirt";LOW;48;2400;0.82;100;2020-02;1900;2020-01;2400;2019-12;6600;2019-11;5400;2019-10;3600;2019-09;2400;2019-08;1900;2019-07;880;2019-06;880;2019-05;1300;2019-04;1600;2019-03;2400;2019-02;2400;2019-01;3600
"under armour women's shirts";LOW;48;2400;1.24;100;2020-04;2400;2020-03;1600;2020-02;1900;2020-01;1900;2019-12;2900;2019-11;2900;2019-10;2400;2019-09;2900;2019-08;2900;2019-07;2900;2019-06;2900;2019-06;2900
"under armour women's camo sweatshirt";LOW;41;50;1.58;100;2020-01;30;2019-12;140;2019-11;170;2019-10;70;2019-09;70;2019-08;40;2019-07;10;2019-06;50;2019-05;10;2019-04;20;2019-03;70;2019-02;30;2019-01;40
"under armour crew neck sweatshirt women's";LOW;39;50;0.55;100;2020-04;20;2020-03;10;2020-02;50;2020-01;50;2019-12;110;2019-11;170;2019-10;70;2019-09;40;2019-08;50;2019-07;30;2019-06;30;2019-05;30;2019-04;50;2019-03;40;2019-02;110;2019-01;110
"under armour football hoodie";LOW;44;50;1.18;100;2020-01;50;2019-12;140;2019-11;170;2019-10;70;2019-09;70;2019-08;50;2019-07;30;2019-06;10;2019-05;20;2019-04;10;2019-03;20;2019-02;40
"under armour logo hoodie";LOW;44;50;1.13;100;2020-01;50;2019-12;90;2019-11;70;2019-10;70;2019-09;30;2019-08;50;2019-07;30;2019-06;10;2019-05;30;2019-04;30;2019-03;40;2019-02;50;2019-01;70
"under armour rival fleece logo hoodie";LOW;39;50;0.82;100;2020-04;40;2020-03;10;2020-02;50;2020-01;90;2019-12;210;2019-11;90;2019-10;110;2019-09;30;2019-08;10;2019-07;10;2019-06;10;2019-05;10;2019-04;20;2019-03;10;2019-02;10;2019-01;20
"women's camo hoodie under armour";LOW;41;50;0.64;100;2020-01;40;2019-12;170;2019-11;140;2019-10;110;2019-09;30;2019-08;30;2019-07;10;2019-06;10;2019-05;10;2019-04;10;2019-03;20;2019-02;20
"white under armour pullover";LOW;44;50;0.38;100;2020-04;20;2020-03;40;2020-02;40;2020-01;90;2019-12;110;2019-11;90;2019-10;110;2019-09;70;2019-08;40;2019-07;30;2019-06;20;2019-06;20
"cool under armour hoodies";LOW;44;50;0.84;100;2020-04;30;2020-03;30;2020-02;50;2020-01;40;2019-12;140;2019-11;170;2019-10;70;2019-09;30;2019-08;90;2019-07;20;2019-06;10;2019-06;10
