Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"under armour outlet";LOW;70;165000;0.17;100;2020-01;135000;2019-12;301000;2019-11;301000;2019-10;165000;2019-09;135000;2019-08;201000;2019-07;201000;2019-06;135000;2019-05;135000;2019-04;135000;2019-03;165000;2019-02;135000
"under armour shoes";LOW;70;135000;0.62;100;2020-01;135000;2019-12;165000;2019-11;135000;2019-10;110000;2019-09;110000;2019-08;165000;2019-07;165000;2019-06;135000;2019-05;135000;2019-04;135000;2019-03;165000;2019-02;135000
"women's hoodies";LOW;77;90500;0.97;100;2020-01;74000;2019-12;165000;2019-11;165000;2019-10;135000;2019-09;90500;2019-08;74000;2019-07;49500;2019-06;33100;2019-05;33100;2019-04;40500;2019-03;60500;2019-02;60500;2019-01;74000
"under armour hoodie";LOW;69;18100;0.9;100;2020-01;18100;2019-12;49500;2019-11;40500;2019-10;27100;2019-09;14800;2019-08;12100;2019-07;8100;2019-06;6600;2019-05;8100;2019-04;9900;2019-03;18100;2019-02;18100
"under armour t shirts";LOW;64;18100;1.24;100;2020-04;14800;2020-03;12100;2020-02;12100;2020-01;12100;2019-12;22200;2019-11;18100;2019-10;14800;2019-09;18100;2019-08;22200;2019-07;22200;2019-06;22200;2019-06;22200
"under armour shorts";LOW;66;14800;1.11;100;2020-03;12100;2020-02;9900;2020-01;9900;2019-12;9900;2019-11;9900;2019-10;9900;2019-09;14800;2019-08;22200;2019-07;27100;2019-06;22200;2019-05;18100;2019-04;18100;2019-03;14800;2019-02;9900
"under armour coupons";LOW;65;14800;1.08;95.7;2020-03;9900;2020-02;12100;2020-01;9900;2019-12;18100;2019-11;18100;2019-10;14800;2019-09;12100;2019-08;18100;2019-07;14800;2019-06;12100;2019-05;12100;2019-04;14800;2019-03;18100;2019-02;12100
"under armour sweatshirt";LOW;62;9900;0.93;100;2020-02;8100;2020-01;8100;2019-12;22200;2019-11;22200;2019-10;14800;2019-09;8100;2019-08;6600;2019-07;3600;2019-06;3600;2019-05;4400;2019-04;5400;2019-03;8100;2019-02;8100
"under armour sale";LOW;62;9900;0.96;100;2020-01;8100;2019-12;18100;2019-11;14800;2019-10;8100;2019-09;8100;2019-08;9900;2019-07;12100;2019-06;9900;2019-05;8100;2019-04;6600;2019-03;8100;2019-02;8100
"under armour jacket";LOW;60;8100;1.25;100;2020-03;3600;2020-02;5400;2020-01;6600;2019-12;14800;2019-11;18100;2019-10;14800;2019-09;6600;2019-08;5400;2019-07;3600;2019-06;2400;2019-05;3600;2019-04;5400;2019-03;8100;2019-02;8100
"under armour sweatpants";LOW;60;8100;1.08;100;2020-01;9900;2019-12;22200;2019-11;22200;2019-10;12100;2019-09;6600;2019-08;4400;2019-07;3600;2019-06;2900;2019-05;3600;2019-04;4400;2019-03;8100;2019-02;8100
"under armour hoodies men's";LOW;55;8100;1.4;100;2020-03;4400;2020-02;6600;2020-01;6600;2019-12;27100;2019-11;22200;2019-10;14800;2019-09;6600;2019-08;5400;2019-07;2900;2019-06;1900;2019-05;2400;2019-04;2900;2019-03;5400;2019-02;6600;2019-01;8100
